C00259	L-Arabinose
C00137	myo-Inositol
C18241	Tetrachloro-cis,cis-muconate
C00074	Phosphoenolpyruvate
C09819	(Hydroxymethylphenyl)succinyl-CoA
C00568	4-Aminobenzoate
C06425	Icosanoic acid
C02350	(S)-Allantoin
C06377	D-Galactosamine 6-phosphate
C00617	UDP-D-galacturonate
C00415	Dihydrofolate
C05272	trans-Hexadec-2-enoyl-CoA
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C00387	Guanosine
C03296	N2-Succinyl-L-arginine
C00447	Sedoheptulose 1,7-bisphosphate
C00159	D-Mannose
C15996	7-Cyano-7-carbaguanine
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
C00178	Thymine
C06025	KDO2-lipid IVA
C00544	Homogentisate
C00475	Cytidine
C04145	all-trans-Nonaprenyl diphosphate
C19968	8-Oxo-dGMP
C00463	Indole
C01024	Hydroxymethylbilane
C00354	D-Fructose 1,6-bisphosphate
C14868	S-(1,2-Dichlorovinyl)glutathione
C15699	gamma-L-Glutamylputrescine
C00468	Estrone
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C00655	Xanthosine 5'-phosphate
C16469	3-Hydroxy-5-methylhex-4-enoyl-CoA
C02214	(E)-Glutaconate
C01344	dIDP
C03885	3-Nonaprenyl-4-hydroxybenzoate
C00341	Geranyl diphosphate
C00248	Lipoamide
C15767	4-(L-gamma-Glutamylamino)butanoate
C02480	cis,cis-Muconate
C00376	Retinal
C16472	3-Fluorocatechol
C04895	7,8-Dihydroneopterin 3'-triphosphate
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C00360	dAMP
C02612	(R)-2-Methylmalate
C03313	Phylloquinol
C04144	Tetrahydropteroyltri-L-glutamate
C00129	Isopentenyl diphosphate
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C02463	Precorrin 2
C04574	di-trans,poly-cis-Undecaprenyl diphosphate
C01101	L-Ribulose 5-phosphate
C03226	3-Demethylubiquinone-9
C02170	Methylmalonate
C03175	Shikimate 3-phosphate
C02476	alpha-L-Rhamnose
C01419	Cys-Gly
C12739	5'-Deoxy-5-fluorouridine
C00093	sn-Glycerol 3-phosphate
C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide
C00620	alpha-D-Ribose 1-phosphate
C21284	Fe-coproporphyrin III
C00222	3-Oxopropanoate
C20267	4-Amino-5-aminomethyl-2-methylpyrimidine
C04932	Lipid A disaccharide
C06547	Ethylene
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
C00534	Pyridoxamine
C04411	(2R,3S)-3-Isopropylmalate
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
C19876	alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA
C04558	3-Methylmuconolactone
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C05946	(4R)-4-Hydroxy-2-oxoglutarate
C00203	UDP-N-acetyl-D-galactosamine
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C04377	5,10-Methylenetetrahydromethanopterin
C02565	N-Methylhydantoin
C00691	2,4,6/3,5-Pentahydroxycyclohexanone
C14851	Benzo[a]pyrene-4,5-oxide
C05686	Adenylylselenate
C03680	4-Imidazolone-5-propanoate
C15978	2-Methyl-1-hydroxybutyl-ThPP
C05484	Pregnanediol
C16329	3-Hydroxy-OPC8-CoA
C05688	L-Selenocysteine
C16474	3-Fluoro-cis,cis-muconate
C04052	5-Carboxy-2-oxohept-3-enedioate
C00114	Choline
C02380	6-Mercaptopurine
C00168	Hydroxypyruvate
C12623	trans-2,3-Dihydroxycinnamate
C04044	3-(2,3-Dihydroxyphenyl)propanoate
C01367	3'-AMP
C00555	4-Aminobutyraldehyde
C06503	Hydrogenobyrinate a,c diamide
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C05703	Methaneselenol
C00029	UDP-glucose
C01102	O-Phospho-L-homoserine
C16333	3-Hydroxy-OPC6-CoA
C04865	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate
C05399	Melibiitol
C01007	Reduced riboflavin
C04376	5'-Phosphoribosyl-N-formylglycinamide
C05394	3-Keto-beta-D-galactose
C11588	cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol
C00275	D-Mannose 6-phosphate
C04899	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C19975	2-Oxepin-2(3H)-ylideneacetyl-CoA
C06714	3-Hydroxypimeloyl-CoA
C03375	Norspermidine
C15974	3-Methyl-1-hydroxybutyl-ThPP
C00208	Maltose
C02167	Maleylpyruvate
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine
C06033	Parapyruvate
C00944	3-Dehydroquinate
C06056	4-Hydroxy-L-threonine
C00103	D-Glucose 1-phosphate
C20904	2-Iminopropanoate
C17556	di-trans,poly-cis-Undecaprenyl phosphate
C04287	3D-3,5/4-Trihydroxycyclohexane-1,2-dione
C00015	UDP
C16479	5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate
C21617	2-Dehydro-D-erythronate
C21750	5-Fluorodeoxyuridine diphosphate
C00024	Acetyl-CoA
C01019	6-Deoxy-L-galactose
C00857	Deamino-NAD+
C18096	D-Allulose 6-phosphate
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C19459	Methyl red
C14144	5-Carboxy-2-pentenoyl-CoA
C05264	(S)-Hydroxydecanoyl-CoA
C01962	Thiocysteine
C21618	2-Dehydro-L-erythronate
C00876	Coenzyme F420
C02713	N-Acetylmuramate
C03242	Dihomo-gamma-linolenate
C19586	Aflatoxin B1-exo-8,9-epoxide
C05689	Se-Methyl-L-selenocysteine
C19848	Adenylated molybdopterin
C05821	Enterochelin
C03319	dTDP-L-rhamnose
C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate
C02338	beta-L-Rhamnose
C01182	D-Ribulose 1,5-bisphosphate
C14792	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
C16551	Alcophosphamide
C03585	3-Chloro-cis,cis-muconate
C00577	D-Glyceraldehyde
C21563	2-(Glutathione-S-yl)-hydroquinone
C06398	ADP-L-glycero-beta-D-manno-heptose
C00117	D-Ribose 5-phosphate
C07335	2-Amino-3-oxo-4-phosphonooxybutyrate
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate
C00166	Phenylpyruvate
C16737	5-Deoxy-D-glucuronate
C04489	5-Methyltetrahydropteroyltri-L-glutamate
C02970	Decaprenol phosphate
C05273	trans-Tetradec-2-enoyl-CoA
C00266	Glycolaldehyde
C06473	2-Keto-D-gluconic acid
C01721	L-Fuculose
C00957	Mercaptopyruvate
C04115	4-Carboxy-4-hydroxy-2-oxoadipate
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C05768	Coproporphyrinogen I
C01904	D-Arabitol
C06509	Adenosyl cobinamide phosphate
C00671	(S)-3-Methyl-2-oxopentanoic acid
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C00378	Thiamine
C00448	trans,trans-Farnesyl diphosphate
C00090	Catechol
C00606	3-Sulfino-L-alanine
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate
C01099	L-Fuculose 1-phosphate
C00362	dGMP
C05444	3alpha,7alpha,26-Trihydroxy-5beta-cholestane
C16466	7-Methyl-3-oxo-6-octenoyl-CoA
