C05300	16alpha-Hydroxyestrone
C01161	3,4-Dihydroxyphenylacetate
C20895	(2S,3S)-3-Methylphenylalanine
C19585	Aflatoxin Q1
C00257	D-Gluconic acid
C05270	Hexanoyl-CoA
C00275	D-Mannose 6-phosphate
C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid
C03090	5-Phosphoribosylamine
C00424	(S)-Lactaldehyde
C02191	Protoporphyrin
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C00084	Acetaldehyde
C00446	alpha-D-Galactose 1-phosphate
C01344	dIDP
C12838	trans-4-Carboxymethylenebut-2-en-4-olide
C03356	3-Phospho-D-erythronate
