C18685	Landomycin E
C01273	2-Hydroxy-6-oxo-6-phenylhexa-2,4-dienoate
C16352	7-Methylxanthosine
C06728	3-Ethylcatechol
C06712	Fluoren-9-one
C00905	D-Fructuronate
C01604	Phlorizin
C21752	2-Hydroxyethyl-CoM
C03918	2,4-Dichloro-cis,cis-muconate
C07731	2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate
C03203	1-Hydroxy-2-naphthoate
C04479	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
C01011	(3S)-Citramalyl-CoA
C06714	3-Hydroxypimeloyl-CoA
C00015	UDP
C00509	Naringenin
C15525	Eriodictyol chalcone
C05851	Coumarin
C19814	Terpentetriene
C11996	Methymycin
C20390	N-Acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol
C21640	6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin
C11400	(1S,2R,4R)-Neoiso-dihydrocarveol
C12537	Benzyl benzoate
C21308	(S)-beta-Tyrosine
C03789	N,6-O-Disulfo-D-glucosamine
C01542	o-Cresol
C16141	(+)-Germacrene A
C14846	4-Bromo-3,5-cyclohexadiene-1,2-dione
C04932	Lipid A disaccharide
C21717	beta-Hexaprene
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone
C00927	Isonocardicin A
C20491	Delphinidin 3-O-beta-D-sambubioside
C04453	4alpha-Methyl-5alpha-cholest-7-en-3-one
C02344	(-)-endo-Fenchol
C19850	4-O-Phosphohygromycin B
C03676	3-Hydroxy-cis,cis-muconate
C21929	(-)-Bornane-2,5-dione
C00832	Paromomycin
C13433	9-cis-Violaxanthin
C04108	20-Hydroxy-3-oxopregn-4-en-21-al
C03680	4-Imidazolone-5-propanoate
C00309	D-Ribulose
C06452	(S)-2-Hydroxypropylphosphonate
C20750	L-Carnitinyl-CoA
C21491	(S)-Tembetarine
C14781	15H-11,12-EETA
C15879	Hydroxyspirilloxanthin
C02845	Methyl ethyl ketone
C00055	CMP
C20656	(L-Prolyl)adenylate
C20186	5S,8R-DiHODE
C18870	Selenodiglutathione
C00830	Oxomalonate
C03451	(R)-S-Lactoylglutathione
C21304	(25S)-26-Oxocholest-4-en-3-one
C02341	trans-Aconitate
C11402	(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone
C08616	beta-Amyrin
C02076	Sedoheptulose
C11857	Gibberellin A12
C16188	7-Hydroxy-2',4',5'-trimethoxyisoflavone
C03742	(S)-4-Hydroxymandelonitrile
C19937	(8E,10R,12Z)-10-Hydroperoxy-8,12-octadecadienoate
C00401	Chondroitin
C06094	Gibberellin A53
C02740	Photinus luciferin
C01142	(3S)-3,6-Diaminohexanoate
C00219	Arachidonate
C05809	3-Octaprenyl-4-hydroxybenzoate
C14727	27-O-Demethylrifamycin SV
C11348	(S)-1-Phenylethanol
C19606	NNAL-N-glucuronide
C14762	13(S)-HODE
C11415	(1S,4S)-Dihydrocarvone
C21867	6-Chloro-D-tryptophan
C05942	Pyrrole-2-carboxylate
C00178	Thymine
C11405	(3R)-3-Isopropenyl-6-oxoheptanoate
C11496	(R)-2-Hydroxypropyl-CoM
C19821	2-Hydroxy-2-(hydroxymethyl)-2H-pyran-3(6H)-one
C05811	2-Octaprenyl-6-hydroxyphenol
C11425	2-Hydroxy-2H-benzo[h]chromene-2-carboxylate
C16310	3-Hexenal
C14045	C25-Epoxy-apo-aldehyde
C05822	3'-CMP
C09126	Genistein 7-O-beta-D-glucoside
C00144	GMP
C00294	Inosine
C00836	Sphinganine
C14840	Bromobenzene-2,3-oxide
C19605	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide
C06332	N-Acetylanthranilate
C03618	L-threo-3-Methylaspartate
C02647	4-Guanidinobutanal
C11680	Cathenamine
C16521	Isoprene
C00916	Cephalosporin C
C03623	N-Methyl-2-oxoglutaramate
C07271	Limonene-1,2-epoxide
C20526	10,11-Epoxy-3-geranylgeranylindole
C18279	4,5-Dihydroxybenzo[a]pyrene
C14148	N-Cyclopropylammeline
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate
C01823	Kanamycin C
C11407	(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA
C18278	9,10-Dihydroxybenzo[a]pyrene
C00502	D-Xylonate
C02452	Perillyl alcohol
C00295	Orotate
C01566	Cyanamide
C07075	Lindane
C02110	11-cis-Retinal
C13713	Allotetrahydrodeoxycorticosterone
C11935	4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA
C06098	Zeaxanthin
C04686	(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate
C11419	(3S)-3-Isopropenyl-6-oxoheptanoate
C14117	Naphthyl-2-methylene-succinyl-CoA
C03149	N-Phosphotaurocyamine
C20172	Cubebol
C21332	8-Dehydro-3-deoxy-D-manno-octulosonate
C09672	Germacrene B
C05805	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C16527	Adrenic acid
C00334	4-Aminobutanoate
C16190	2,7-Dihydroxy-4'-methoxyisoflavanone
C21909	7alpha-Hydroxy-3-oxochol-24-oyl-CoA
C20639	O-Ureido-L-serine
C21289	(R)-3-(Indol-3-yl)-2-oxobutyrate
C01109	4-Methylene-L-glutamine
C02299	N-Methylaniline
C06099	d-Limonene
C18052	Lavandulyl diphosphate
C19823	UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose
C00292	Aniline
C14143	Adipyl-CoA
C05810	2-Octaprenylphenol
C03269	D-galacto-Hexodialdose
C00636	D-Mannose 1-phosphate
C10462	[6]-Gingerol
C21762	4-Hydroxytryptamine
C21028	(R)-5,6-Dihydrothymine
C16526	Icosenoic acid
C20682	dTDP-alpha-D-fucofuranose
C16311	12-Oxo-9(Z)-dodecenoic acid
C03423	O-beta-D-Glucosylzeatin
C11829	13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester
C21957	Reumycin
C05328	D-2-Aminohexano-6-lactam
C01275	(3E)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate
C11145	Methanesulfonic acid
C01389	Phytol
C00263	L-Homoserine
C04255	N-Acetyl-D-galactosamine 6-sulfate
C14111	5,6,7,8-Tetrahydro-2-naphthoic acid
C03661	1F-beta-D-Fructosylsucrose
C02970	Decaprenol phosphate
C05651	5-Hydroxykynurenine
C00688	dTDP-4-dehydro-beta-L-rhamnose
C02855	N-Phospho-D-lombricine
C19875	alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA
C16551	Alcophosphamide
C15976	2-Methyl-1-hydroxypropyl-ThPP
C20681	(E,E)-Geranyllinalool
C21667	(Z)-1-(L-Cysteinylglycine-S-yl)-N-hydroxy-2-phenylethane-1-imine
C17373	OA-6129 B1
C11062	4-Hydroxybutyryl-CoA
C12083	(5Z,7E,9E,14Z,17Z)-Icosapentaenoate
C01272	1D-myo-Inositol 1,3,4,5-tetrakisphosphate
C05908	Delphinidin
C18131	Geranyl-hydroxybenzoate
C03037	(+)-Bornane-2,5-dione
C21254	3''-Deamino-3''-hydroxykanamycin B
C08539	Betanidin
C03590	4-Hydroxyphenylglyoxylate
C03212	2,4-Dihydroxypteridine
C05356	5(S)-HPETE
C03309	Strictosidine aglycone
C06442	N(gamma)-Acetyldiaminobutyrate
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C05337	Chenodeoxycholoyl-CoA
C04687	(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate
C02280	GDP-L-galactose
C21263	6'''-Deamino-6'''-oxoparomomycin II
C04105	2,5-Dihydro-5-oxofuran-2-acetate
C12323	L-4-Hydroxyphenylglycine
C01113	D-Galactose 6-phosphate
C01850	Rosmarinate
C06892	2-Deoxy-5-keto-D-gluconic acid
C05823	3-Mercaptolactate
C18302	4,6-Dichloro-3-methylcatechol
C18263	1,6-Dihydroxypyrene
C16704	Anhalonidine
C02496	2,4-Dinitrophenol
C05108	14-Demethyllanosterol
C13747	1,7-Dimethylxanthine
C18284	Benzo[a]pyrene-cis-11,12-dihydrodiol
C00531	Itaconyl-CoA
C17439	Dihydrogeranylgeranyl diphosphate
C00843	(-)-Menthone
C03057	2-Carboxybenzaldehyde
C12399	19-Hydroxytetrangulol
C06392	16,17-Didehydropregnenolone
C16849	Hydroxypyruvaldehyde phosphate
C07647	Phosphoramide mustard
C04371	3-Mercapto-2-mercaptomethylpropanoate
C20847	(R)-Mevalonate 3-phosphate
C15885	2,2'-Diketospirilloxanthin
C10428	Anethole
C00513	CDP-glycerol
C11892	Aphidicol-15-ene
C05993	Acetyl adenylate
C14582	2,4-Dimethylphenol
C01378	Fustin
C11908	3,6-Dideoxy-3-oxo-dTDP-D-glucose
C05318	cis-N-Methyl-(S)-7,8,13,14-tetrahydroprotoberberine
C20448	5-Hydroxymethyl-2-furoate
C04639	2,4-Dioxotetrahydropyrimidine D-ribonucleotide
C01971	beta-Maltose
C18154	3-Hydroxyethylchlorophyllide a
C20187	Achilleol B
C20276	Tetraprenyl-beta-curcumene
C03087	5-Acetamidopentanoate
C17743	Bisdemethoxycurcumin
C19781	L-Prolinamide
C16708	Isoandrocymbine
C03569	2,2',3-Trihydroxybiphenyl
C18281	10-Oxabenzo[def]chrysen-9-one
C03722	Quinolinate
C02906	Dihydromyricetin
C05625	Rutin
C12452	Acetyltropine
C19791	2-O-(alpha-D-Glucopyranosyl)-3-phospho-D-glycerate
C06523	Coniine
C18059	CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol
C20815	MM 4550
C06585	cis-2,3-Dihydro-2,3-dihydroxy-4'-chlorobiphenyl
C03642	Taurolithocholate sulfate
C06055	O-Phospho-4-hydroxy-L-threonine
C16404	Pinocembrin chalcone
C19970	2-Hydroxy-dAMP
C06891	D-2,3-Diketo 4-deoxy-epi-inositol
C03035	gamma-Linolenoyl-CoA
C03147	N-Malonylanthranilate
C16373	Cyanidin-3-O-(6''-O-malonyl-2''-O-glucuronyl)glucoside
C21109	Aminopyrrolnitrin
C18019	1-Hydroxy-p-menth-8-en-2-one
C12408	100-2
C00618	3-Dehydro-L-gulonate
C21247	2-Amino-5-epi-valiolone
C01368	3'-UMP
C07054	Isoniazid
C14875	S-(2-Hydroxyethyl)glutathione
C00366	Urate
C14087	3-Methylsalicylaldehyde
C00880	D-Galactonate
C03082	4-Phospho-L-aspartate
C01875	2-Undecanone
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C21655	Cyclobis-1,6-alpha-nigerosyl
C02750	Sinapoyltartronate
C20499	(1'S)-Averantin
C11896	Taxa-4(20),11(12)-dien-5alpha-yl acetate
C16617	6-Mercaptopurine ribonucleoside triphosphate
C05627	4-Hydroxystyrene
C02691	Heteropyrithiamine
C06791	trans-1,2-Dichloroethene
C21727	(13E)-Labda-7,13-dien-15-yl diphosphate
C16291	7,8-Dihydro-beta-carotene
C01710	Indan-1-ol
C01586	Hippurate
C21133	Deoxyviolacein
C11937	(1S,4R)-1-Hydroxy-2-oxolimonene
C20482	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C01848	Rifamycin B
C03727	S-Carboxymethyl-L-cysteine
C12429	13-Deoxydaunorubicin
C18015	Momilactone A
C21654	(+)-Kolavenyl diphosphate
C03300	O-beta-D-Xylosylzeatin
C00651	4-Methylene-L-glutamate
C14872	Thiodiacetic acid
C14877	S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine
C03824	2-Aminomuconate semialdehyde
C01863	Xanthoaphin
C02574	O-Phosphoviomycin
C03666	2-Carboxy-cis,cis-muconate
C01151	D-Ribose 1,5-bisphosphate
C12480	Coumermycin D
C04576	Pentagalloylglucose
C02625	2,4-Dichlorophenol
C00417	cis-Aconitate
C00168	Hydroxypyruvate
C18217	16-Feruloyloxypalmitate
C11388	(-)-Linalool
C20741	Novamethymycin
C06559	Deethylatrazine
C05622	Malonylapiin
C19588	Aflatoxin B1 diol
C14870	2-Bromoacetaldehyde
C18262	1-Methoxypyrene-6,7-oxide
C14108	4-Hydroxymethylsalicylaldehyde
C17203	N-Hydroxyl-tryptamine
C20505	Versiconal hemiacetal acetate
C19827	Colneleate
C12095	Cyanidin 3-O-(6-O-p-coumaroyl)glucoside
C00365	dUMP
C10454	Methyleugenol
C06320	Precorrin 6X
C00018	Pyridoxal phosphate
C20861	Mannobiose
C21797	all-trans-3,4-Didehydroretinol
C00109	2-Oxobutanoate
C00547	L-Noradrenaline
C01100	L-Histidinol phosphate
C04808	D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid
C05579	Indole-5,6-quinone
C11135	Androsterone glucuronide
C21443	N-Demethylindolmycin
C00392	Mannitol
C05623	Quercetin 3-O-glucoside
C18307	2-Methyl-3-oxoadipate
C00986	1,3-Diaminopropane
C18040	5alpha-Dihydrodeoxycorticosterone
C16349	Pelargonidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)
C20241	Tricyclene
C21800	(+)-O-Methylkolavelool
C14800	1-Nitronaphthalene-5,6-oxide
C14717	15-Deoxy-Delta12,14-PGJ2
C08276	3-(Methylthio)propanoate
C19574	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol
C02666	Coniferyl aldehyde
C04226	6-Oxo-1,4,5,6-tetrahydronicotinate
C00770	L-Idonate
C00362	dGMP
C21783	Mogroside IE
C12667	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
C01674	Chitobiose
C05501	20alpha,22beta-Dihydroxycholesterol
C06526	Quinine
C19832	Thalianol
C16209	3-(2-Carboxyvinyl)naphthalene-2-carboxylic acid
C00479	Propanal
C12625	Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside)
C02718	N-Formiminoglycine
C00587	3-Hydroxybenzoate
C01750	Quercitrin
C15988	(9S,10S)-9,10-Dihydroxyoctadecanoate
C05280	cis,cis-3,6-Dodecadienoyl-CoA
C21402	Isoprenyl alcohol
C05595	4-Hydroxyphenylacetylglutamic acid
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate
C05498	11beta-Hydroxyprogesterone
C20693	Carlactone
C00804	Propynoate
C02983	Abrine
C07272	Maleimide
C20953	3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
C00482	Sinapate
C05856	Thiamine aldehyde
C09723	beta-Selinene
C05262	(S)-3-Hydroxydodecanoyl-CoA
C03921	2-Dehydro-3-deoxy-D-glucarate
C11899	10-Deacetyl-2-debenzoylbaccatin III
C12127	(+)-Gallocatechin
C02394	Cinnamyl alcohol
C21352	dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene
C00143	5,10-Methylenetetrahydrofolate
C02591	Sucrose 6'-phosphate
C03586	2-Oxo-2,3-dihydrofuran-5-acetate
C18240	Tetrachlorocatechol
C10509	Ononin
C15892	Chloroxanthin
C02183	Phloroglucinol
C05285	Adrenosterone
C07535	Benzo[a]pyrene
C08323	(15Z)-Tetracosenoic acid
C11984	Avermectin A1a
C08543	Dopaxanthin
C03401	L-2,3-Diaminopropanoate
C04122	D-1-Aminopropan-2-ol O-phosphate
C03406	N-(L-Arginino)succinate
C00885	Isochorismate
C00919	Choline sulfate
C18038	7alpha-Hydroxypregnenolone
C06576	p-Cumic alcohol
C09092	Ferruginol
C14825	9(10)-EpOME
C05434	beta-Zeacarotene
C06608	Diethylphosphoric acid
C05204	(S)-Tetrahydroprotoberberine
C16335	OPC4-CoA
C01284	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
C07646	Carboxyphosphamide
C11700	10-Deacetylbaccatin III
C15800	3-Dehydro-6-deoxoteasterone
C05279	trans,cis-Lauro-2,6-dienoyl-CoA
C16541	Chlorophyllide b
C19918	Parkeol
C16674	Formylisoglutamine
C06177	Retronecine
C05821	Enterochelin
C03599	CDP-3,6-dideoxy-D-mannose
C05440	Ergosta-5,7,22,24(28)-tetraen-3beta-ol
C09337	Ankorine
C14084	1,2-Dihydroxy-8-methylnaphthalene
C12832	3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
C21002	6-Linalyl-2-O,3-dimethylflaviolin
C08584	Capsanthin
C11923	dTDP-D-olivose
C13638	1-(4'-Hydroxyphenyl)ethanol
C14873	Thiodiacetic acid sulfoxide
C14801	1-Nitro-5,6-dihydroxy-dihydronaphthalene
C00214	Thymidine
C00511	Acrylic acid
C06024	3-Deoxy-D-manno-octulosonyl-lipid IV(A)
C00141	3-Methyl-2-oxobutanoic acid
C16682	9-cis-Retinol
C06174	Codeine
C06076	Camphene
C07304	Deacetylisoipecoside
C00655	Xanthosine 5'-phosphate
C12473	Novclobiocin 104
C14792	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
C01721	L-Fuculose
C00328	L-Kynurenine
C10945	Caffeic aldehyde
C00747	Pyridine
C00146	Phenol
C20993	S-(L-Histidin-5-yl)-L-cysteine S-oxide
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C04739	UDP-N-acetyl-6-(alpha-D-galactose-1-phospho)-alpha-D-glucosamine
C03341	2-Amino-4-oxopentanoic acid
C12045	Ansamitocin P-3
C02390	Methylazoxymethanol
C07635	Epiandrosterone
C19801	Isomultiflorenol
C14793	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
C14778	16(R)-HETE
C06605	Aminoparathion
C20814	OA-6129 C
C05111	Methostenol
C10164	Picolinic acid
C00329	D-Glucosamine
C06074	Myrcene
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate
C17949	N-Acetyldemethylphosphinothricin
C14540	Rifamycin S
C05853	Phenylethyl alcohol
C18297	Anhydrochlortetracycline
C03107	D-Glucono-1,4-lactone
C00844	Prunasin
C04034	(1->6)-beta-D-Galactosylgalactogen
C11978	5-Oxoavermectin ''1a'' aglycone
C04297	CDP-4-dehydro-3,6-dideoxy-D-glucose
C04676	Testololactone
C03493	D-4-Hydroxyphenylglycine
C00132	Methanol
C02366	3-Methyloxindole
C00206	dADP
C16374	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA
C02635	3-Chloro-L-alanine
C16413	2,2',6,6'-Tetranitro-4,4'-azoxytoluene
C00489	Glutarate
C06594	1,2,4-Trichlorobenzene
C01720	L-Fuconate
C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene
C15860	1'-Hydroxytorulene
C07028	N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate
C06019	D-arabino-Hex-3-ulose 6-phosphate
C02083	Styrene oxide
C01028	N6-Hydroxy-L-lysine
C12419	Auramycinone
C19563	4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone
C06503	Hydrogenobyrinate a,c diamide
C10521	Prunetin
C07836	D-glycero-beta-D-manno-Heptose 7-phosphate
C01864	Xanthotoxin
C02933	3,5-Dichlorocatechol
C04883	(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone
C21431	8-Ethyl-12-methylbacteriochlorophyllide d
C00488	Formamide
C15484	Isopregnanolone
C03594	7alpha-Hydroxycholesterol
C19763	Soyasapogenol B 3-O-D-glucuronide
C16390	(S)-2-(Hydroxymethyl)glutarate
C18073	N1,N5-Di(hydroxyferuloyl)-N10-sinapoyl spermidine
C12109	AminoDHQ
C13636	4-Hydroxyphenyl acetate
C07029	N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate
C02814	Benzene-1,2,4-triol
C11993	10-Deoxymethynolide
C05451	7alpha-Hydroxy-5beta-cholestan-3-one
C16566	Glutathionylaminopropylcadaverine
C05441	Vitamin D2
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine
C16412	2,4',6,6'-Tetranitro-2',4-azoxytoluene
C12378	Tetracenomycin B2
C00114	Choline
C00307	CDP-choline
C20199	3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate
C01165	L-Glutamate 5-semialdehyde
C05229	Phaseollidin hydrate
C02587	Pyrimidodiazepine
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
C00583	Propane-1,2-diol
C03494	D-Erythritol 4-phosphate
C21445	17-(4-Hydroxyphenyl)heptadecanoyl adenylate
C18642	beta-Rhodomycin
C04881	N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol
C18641	15-Demethoxy-epsilon-rhodomycin
C14180	S-(Hydroxymethyl)glutathione
C02167	Maleylpyruvate
C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C05577	3,4-Dihydroxymandelaldehyde
C06789	Tetrachloroethene
C00975	Dihydroxyfumarate
C04167	(+/-)-trans-Acenaphthene-1,2-diol
C12002	5-O-beta-D-Mycaminosyltylonolide
C19594	Aflatoxin-M1-8,9-epoxide
C16650	5-Hydroxyvalproic acid
C04804	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine
C17351	Nocardicin C
C07578	Cannabidiol
C06793	Vinyl chloride
C03844	D-Pinitol
C04431	cis-4-Carboxymethylenebut-2-en-4-olide
C00243	Lactose
C01877	4-Oxoproline
C00546	Methylglyoxal
C06407	Precorrin 4
C01182	D-Ribulose 1,5-bisphosphate
C17467	p-Hydroxybenzyl alcohol
C17753	Dopaxanthin quinone
C14723	Rifamycin Z
C19562	7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate
C20712	(S)-Laudanine
C16227	(+)-Sophorol
C05423	5,6alpha-Epoxy-5alpha-cholestane
C12003	Demethyllactenocin
C17440	Tetrahydrogeranylgeranyl diphosphate
C21623	1-aci-Nitro-2-phenylethane
C06792	cis-1,2-Dichloroethene
C16388	(3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenoyl-CoA
C21000	(9Z,12Z)-Hexadeca-9,12-dienoyl-CoA
C18338	5-Carboxyvanillic acid
C03091	5beta-Cholestan-3-one
C06406	Precorrin 3B
C11865	Gibberellin A51
C11133	Estrone glucuronide
C04058	Bis(5'-adenosyl) pentaphosphate
C04376	5'-Phosphoribosyl-N-formylglycinamide
C16363	N-Methylurea
C17240	p-Hydroxybenzyldesulphoglucosinolate
C03943	(2R,4S)-2,4-Diaminopentanoate
C15933	Deoxymyxol
C06240	UDP-N-acetyl-D-mannosaminouronate
C05794	Urobilin
C21776	2-({[(4-Methoxyphenyl)methyl](methyl)amino}methyl)-2-methylpropane-1,3-diol
C05958	Delta-12-Prostaglandin J2
C21030	(R)-Methylmalonate semialdehyde
C21588	(13S,14R)-1-Hydroxy-13-O-acetyl-N-methylcanadine
C05512	Deoxyinosine
C20357	UDP-N,N'-Diacetylbacillosamine
C20775	beta-Citryl-L-glutamate
C16417	Xanthohumol
C11683	19-epi-Ajmalicine
C06570	Tetracycline
C04197	Indole-3-acetyl-beta-1-D-glucoside
C19567	4-Oxo-1-(3-pyridyl)-1-butanone
C00977	L-Tryptophanamide
C00815	Citramalate
C20468	Cyanidin 3-O-(beta-D-xylosyl-(1->2)-beta-D-galactoside)
C03366	5-Phosphooxy-L-lysine
C21470	12alpha-Hydroxy-3-oxochola-4,6-dien-24-oyl-CoA
C00828	Menaquinone
C20277	(2R,3R)-3-Methylornithine
C20527	Emindole SB
C18846	Mycinamicin IV
C06453	Methylcobalamin
C06653	Erythromycin B
C02498	2-Ethylhexan-1-ol
C09614	Butin
C04484	4-Carboxy-2-hydroxymuconate semialdehyde
C18239	Precursor Z
C02137	alpha-Oxo-benzeneacetic acid
C06655	L-N2-(2-Carboxyethyl)arginine
C00777	Retinoate
C02879	Protoaphin aglucone
C14109	4-Hydroxymethylsalicylate
C04498	p-Coumaroylagmatine
C03572	2-Chloro-cis,cis-muconate
C19620	9,10-Epoxy-18-hydroxystearate
C01984	(S)-Mandelate
C02499	2-Hydroxybiphenyl
C20984	3-Linalylflaviolin
C17352	Isonocardicin C
C03691	CMP-N-glycoloylneuraminate
C18326	p-Coumaroylputrescine
C14831	8(R)-HPODE
C02243	8-Oxocoformycin
C19689	Glutathione amide
C04672	(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid
C21162	Mitomycin B
C02811	Anhydrotetracycline
C06083	Tetrahymanol
C19581	alpha-[3-(Nitrosoamino)propyl]-3-pyridinemethanol
C01467	3-Cresol
C09880	alpha-Pinene
C16631	alpha-Fluoro-beta-ureidopropionic acid
C08628	Lupeol
C05634	5-Hydroxyindoleacetaldehyde
C12428	13-Deoxycarminomycin
C21183	Bursehernin
C16305	Pelargonidin 3-O-sophoroside
C18174	Carboxynorspermidine
C00223	p-Coumaroyl-CoA
C07726	1-Formyl-2-indanone
C15501	3-Epihydroxymugineic acid
C21087	3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate
C12401	PD116740
C06321	(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C00974	Dihydrokaempferol
C14841	2-Bromophenol
C21611	3-Dehydro-4-phospho-L-erythronate
C11136	Etiocholan-3alpha-ol-17-one 3-glucuronide
C17754	3-Methoxytyramine-betaxanthin
C02948	4-Hydroxyhexan-3-one
C20361	Pseudooxynicotine
C15546	O-beta-D-Glucopyranosyl-cis-zeatin
C13624	Bisphenol A
C03036	(+)-Bisdechlorogeodin
C02330	UDP-L-iduronate
C03359	4-Chloro-2-methylphenol
C20455	(-)-Pinoresinol
C07728	3-Isochromanone
C14155	gamma-Tocotrienol
C02207	beta-Alanopine
C06162	Sanguinarine
C17583	6'-Dehydro-6'-oxoparomamine
C00633	4-Hydroxybenzaldehyde
C02537	Estradiol-17alpha
C14789	N-Hydroxy-1-aminonaphthalene
C21218	Validone 7-phosphate
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C12119	Phenazine-1,6-dicarboxylic acid
C07727	2-Indanone
C21778	Norbaeocystin
C05594	3-Methoxy-4-hydroxyphenylethyleneglycol
C02801	4-Aminobutanoyl-CoA
C00757	Berberine
C02909	(2-Naphthyl)methanol
C01097	D-Tagatose 6-phosphate
C15559	Glycochenodeoxycholate 7-sulfate
C00169	Carbamoyl phosphate
C14790	1-Naphthylamine
C03659	D-Bornesitol
C05293	5beta-Dihydrotestosterone
C17584	Xylostasin
C20740	Novapikromycin
C06580	2,3-Dihydroxy-p-cumate
C04604	3-Hydroxy-2-methylpyridine-4,5-dicarboxylate
C21663	(E)-1-(L-Cysteinylglycine-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethane-1-imine
C06052	5-Pyridoxolactone
C15780	5-Dehydroepisterol
C02094	beta-Carotene
C16242	Cobalt-precorrin 5A
C21908	12alpha-Hydroxy-3-oxochol-4-en-24-oyl-CoA
C03046	(S,S)-Butane-2,3-diol
C01286	2-Dehydro-3-deoxy-6-phospho-D-galactonate
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C20672	GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose
C05442	Stigmasterol
C15558	Dermatan 6'-sulfate
C16726	Cinchoninone
C04121	CMP-3-deoxy-D-manno-octulosonate
C00845	2-Furoyl-CoA
C00756	1-Octanol
C16261	5beta-Scymnol sulfate
