C16579	trans-Homoaconitate
C03921	2-Dehydro-3-deoxy-D-glucarate
C03920	2-(Methylthio)ethanesulfonate
C00791	Creatinine
C05556	delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine
C05557	Isopenicillin N
C05554	Aerobactin
C02802	4-Fluorobenzoyl-CoA
C11538	Cobalt-sirohydrochlorin
C00227	Acetyl phosphate
C00224	Adenylyl sulfate
C00223	p-Coumaroyl-CoA
C00222	3-Oxopropanoate
C00221	beta-D-Glucose
C18051	Chrysanthemyl diphosphate
C18050	beta-D-Fructofuranosyl-alpha-D-mannopyranoside 6F-phosphate
C04022	S,S-Dimethyl-beta-propiothetin
C04024	Vitexin 2''-O-beta-D-glucoside
C00508	L-Ribulose
C11387	(1S,4R)-(+)-Fenchone
C11382	(+)-3-Carene
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C11389	(+)-Linalool
C10497	Feruloylputrescine
C10164	Picolinic acid
C00313	Oxalyl-CoA
C00644	D-Mannitol 1-phosphate
C00647	Pyridoxamine phosphate
C00310	D-Xylulose
C00643	5-Hydroxy-L-tryptophan
C00314	Pyridoxine
C20601	Janthitrem C
C03313	Phylloquinol
C15668	1-Pyrroline
C03230	(Indol-3-yl)glycolaldehyde
C17352	Isonocardicin C
C17351	Nocardicin C
C17355	Nocardicin G
C15666	(7R)-7-(4-Carboxybutanamido)cephalosporanate
C05176	(S)-N-Methylcoclaurine
C16775	(S)-beta-Bisabolene
C05172	Selenophosphoric acid
C05178	(R)-Reticuline
C05774	Cobinamide
C05772	Precorrin 3A
C05773	Cobyrinate
C05770	Coproporphyrin III
C21955	L-Galactono-1,5-lactone
C05778	Sirohydrochlorin
C20776	N-Acetylaspartylglutamylglutamate
C20775	beta-Citryl-L-glutamate
C20774	UDP-N-acetyl-beta-L-fucosamine
C20773	6-Amino-6-deoxyfutalosine
C20772	3-[(1-Carboxyvinyl)oxy]benzoate
C10945	Caffeic aldehyde
C20395	UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate
C04540	N4-(Acetyl-beta-D-glucosaminyl)asparagine
C01061	4-Fumarylacetoacetate
C04544	gamma-L-Glutamyl-L-cysteinyl-beta-alanine
C20158	(13E)-Labda-7,13-dien-15-ol
C01068	D-Ribitol 5-phosphate
C20154	3-Methoxy-4',5-dihydroxy-trans-stilbene
C09736	Fisetinidol-4beta-ol
C04830	beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol
C00927	Isonocardicin A
C09555	(-)-Laudanidine
C20805	3-Hydroxy-5-methyl-1-naphthoate
C20804	alpha-Longipinene
C20807	3-Hydroxy-L-phenylalanine
C20550	Lolitrem E
C20801	3-Hydroxy-5-methyl-L-tyrosine
C20800	3-Methyl-L-tyrosine
C20803	5-Methyl-1-naphthoate
C20802	(4S)-4-Hydroxy-L-isoleucine
C00552	meso-Tartaric acid
C21604	(3S)-6-Acetamido-3-aminohexanoate
C00288	HCO3-
C16408	2',3,4,4',6'-Peptahydroxychalcone 4'-O-glucoside
C16409	Aureusidin 6-O-glucoside
C02465	Triiodothyronine
C02463	Precorrin 2
C02462	Sabinene hydrate
C16401	2,4,6-Trihydroxytoluene
C16404	Pinocembrin chalcone
C16405	Homoeriodictyol chalcone
C16406	Phlorizin chalcone
C16407	2',4,4',6'-Tetrahydroxychalcone 4'-O-glucoside
C02325	Sinapyl alcohol
C04293	Chrysoeriol
C21730	epsilon-(gamma-L-Glutamyl)-L-lysine
C21731	2-(Hydroxysulfanyl)hercynine
C01468	4-Cresol
C01157	Hydroxyproline
C04498	p-Coumaroylagmatine
C01467	3-Cresol
C01460	Vitexin
C01685	D-Ribonate
C01682	Nopaline
C19719	D-Alanyl-D-serine
C01151	D-Ribose 1,5-bisphosphate
C05942	Pyrrole-2-carboxylate
C05945	L-Arginine phosphate
C05947	L-erythro-4-Hydroxyglutamate
C05946	(4R)-4-Hydroxy-2-oxoglutarate
C20546	Terpendole C
C01205	(R)-3-Amino-2-methylpropanoate
C20543	Terpendole I
C19823	UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose
C06090	ent-Kaurene
C18023	Sophoraflavanone B
C06099	d-Limonene
C03220	(2Z,6E)-Farnesol
C06306	(+)-alpha-Pinene
C03227	3-Hydroxy-L-kynurenine
C06304	(+)-Camphene
C06305	(-)-Camphene
C02084	Tetrathionate
C06308	(-)-alpha-Pinene
C06309	Diplopterol
C02083	Styrene oxide
C18028	L-Fucono-1,5-lactone
C01514	Luteolin
C01847	Reduced FMN
C01841	Pentalenene
C02647	4-Guanidinobutanal
C02646	4-Coumaryl alcohol
C02642	3-Ureidopropionate
C01518	Nigerose
C06520	(S)-Norreticuline
C02887	Sinapoyl malate
C02880	Protochlorophyllide
C18448	Methyl iodide
C17438	di-trans,poly-cis-Nonaprenyl diphosphate
C17439	Dihydrogeranylgeranyl diphosphate
C17436	di-trans,poly-cis-Heptaprenyl diphosphate
C17437	di-trans,poly-cis-Octaprenyl diphosphate
C17434	di-trans,poly-cis-Hexaprenyl diphosphate
C17435	di-trans,poly-cis-Pentaprenyl diphosphate
C17432	all-trans-Decaprenyl diphosphate
C03680	4-Imidazolone-5-propanoate
C03684	6-Pyruvoyltetrahydropterin
C06416	Precorrin 5
C03515	Luteolin 7-O-glucuronide
C11588	cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol
C06030	Methyloxaloacetate
C04302	N-(5-Phospho-D-ribosyl)anthranilate
C00818	D-Glucarate
C00819	D-Glutamine
C03044	(R,R)-Butane-2,3-diol
C00476	D-Lyxose
C00810	(R)-Acetoin
C00811	4-Coumarate
C00814	Biochanin A
C00815	Citramalate
C00817	D-Altronate
C07481	Caffeine
C03354	3-Methylthiopropanamine
C18064	Pyropheophorbide a
C04015	N-Acetyl-4-O-acetylneuraminate
C04016	N-Acetyl-7-O-acetylneuraminate
C04017	N-Acetyl-9-O-acetylneuraminate
C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C05548	6-Acetamido-2-oxohexanoate
C18063	C-13(2)-Carboxypyropheophorbide a
C03918	2,4-Dichloro-cis,cis-muconate
C18068	beta-D-Fructofuranosyl-alpha-D-mannopyranoside
C18069	N1,N5,N10-Tricoumaroyl spermidine
C00253	Nicotinate
C00250	Pyridoxal
C00251	Chorismate
C00256	(R)-Lactate
C00257	D-Gluconic acid
C00254	Prephenate
C00255	Riboflavin
C00258	D-Glycerate
C00259	L-Arabinose
C00497	(R)-Malate
C00490	Itaconate
C00491	L-Cystine
C00492	Raffinose
C00493	Shikimate
C00498	ADP-glucose
C00499	Allantoate
C00078	L-Tryptophan
C00079	L-Phenylalanine
C11393	(-)-alpha-Terpineol
C00072	Ascorbate
C00073	L-Methionine
C00077	L-Ornithine
C00074	Phosphoenolpyruvate
C00075	UTP
C01300	6-(Hydroxymethyl)-7,8-dihydropterin
C00546	Methylglyoxal
C00130	IMP
C04164	trans-Cinnamoyl beta-D-glucoside
C03289	L-xylo-Hexulonolactone
C00671	(S)-3-Methyl-2-oxopentanoic acid
C09183	Sclareol
C00673	2-Deoxy-D-ribose 5-phosphate
C20940	L-Dihydroanticapsin
C00679	5-Dehydro-4-deoxy-D-glucarate
C20942	Bacilysin
C00106	Uracil
C00104	IDP
C00105	UMP
C00103	D-Glucose 1-phosphate
C00100	Propanoyl-CoA
C00101	Tetrahydrofolate
C00108	Anthranilate
C00109	2-Oxobutanoate
C05161	(2R,5S)-2,5-Diaminohexanoate
C05165	2-Amino-5-oxocyclohex-1-enecarbonyl-CoA
C20492	Pelargonidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside
C06899	Chloral hydrate
C20497	N-Acetyl-beta-D-mannosaminuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C06891	D-2,3-Diketo 4-deoxy-epi-inositol
C05768	Coproporphyrinogen I
C10028	Chrysin
C10020	Apigenin 7-(6''-malonylglucoside)
C16521	Isoprene
C04553	3-Carboxy-2,5-dihydro-5-oxofuran-2-acetate
C03996	5'-O-beta-D-Glucosylpyridoxine
C01077	O-Acetyl-L-homoserine
C01079	Protoporphyrinogen IX
C04558	3-Methylmuconolactone
C20121	trans,trans-Farnesyl phosphate
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C21833	Kaempferol-3-O-rutinoside
C04796	4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
C09723	beta-Selinene
C07295	Methanearsonous acid
C10447	3,4-Dihydroxyphenylpropanoate
C14830	GDP-4-keto-6-L-deoxygalactose
C15650	2,3-Diketo-5-methylthiopentyl-1-phosphate
C10443	Curcumin
C10509	Ononin
C00802	Oxalureate
C16417	Xanthohumol
C16416	Desmethylxanthohumol
C16415	5-Deoxyleucopelargonidin
C21619	(2-Hydroxy-1H-indol-3-yl)acetate
C21618	2-Dehydro-L-erythronate
C21617	2-Dehydro-D-erythronate
C21616	Psicoselysine
C21615	Glycolaldehyde triphosphate
C21614	Glycolaldehyde phosphate
C21612	3-Dehydro-L-erythronate
C21611	3-Dehydro-4-phospho-L-erythronate
C16418	Pinobanksin 3-O-acetate
C20236	4-O-beta-D-Mannopyranosyl-D-glucopyranose
C20237	alpha-Maltose 1-phosphate
C20234	5-Guanidino-3-methyl-2-oxopentanoate
C20235	(E)-2-Methylgeranyl diphosphate
C05376	Biochanin A-beta-D-glucoside
C20230	(+)-Sabinene
C20231	(Z)-3-Ureidoacrylate peracid
C05378	beta-D-Fructose 1,6-bisphosphate
C05379	Oxalosuccinate
C20238	(2R)-Ethylmalonyl-CoA
C20239	6-Carboxy-5,6,7,8-tetrahydropterin
C01678	Cysteamine
C01672	Cadaverine
C01674	Chitobiose
C21720	9,13-Epoxylabda-14-ene
C20636	Deoxybrevianamide E
C21729	(12E)-Labda-8(17),12,14-triene
C04484	4-Carboxy-2-hydroxymuconate semialdehyde
C01470	Acacetin
C04480	3-Carboxy-2-hydroxymuconate semialdehyde
C01697	Galactitol
C04058	Bis(5'-adenosyl) pentaphosphate
C20982	9-(Dimethylallyl)-5,10-dihydrophenazine-1-carboxylate
C19724	Cobyrinate c-monamide
C20983	4-O-Dimethylallyl-L-tyrosine
C19720	N6-(UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl)-D-lysine
C19721	5-Hydroxypyrrole-2-carboxylate
C12668	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside
C07189	2-Hydroxyacetophenone
C21136	Violacein
C05979	Propane-1-ol
C00739	D-Lysine
C05202	3'-Hydroxy-N-methyl-(S)-coclaurine
C05200	3-Hexaprenyl-4,5-dihydroxybenzoate
C01219	CDP-4-dehydro-6-deoxy-D-glucose
C01218	6-Phospho-2-dehydro-D-gluconate
C19669	Thermospermine
C01213	(R)-Methylmalonyl-CoA
C01212	UDP-N-acetylmuramoyl-L-alanine
C01217	5,6,7,8-Tetrahydromethanopterin
C01216	2-Dehydro-3-deoxy-D-galactonate
C05995	7-Hydroxy-6-methyl-8-ribityllumazine
C05993	Acetyl adenylate
C19852	tritrans,heptacis-Undecaprenyl diphosphate
C03623	N-Methyl-2-oxoglutaramate
C05998	3-Hydroxyisovaleryl-CoA
C05999	Lactaldehyde
C06083	Tetrahymanol
C06086	Pimaradiene
C06089	ent-Copalyl diphosphate
C06088	Aphidicolin
C19033	Carbon disulfide
C03231	3-Methylglutaconyl-CoA
C06310	Diploptene
C06313	Biopterin
C03232	3-Phosphonooxypyruvate
C03237	5-Hydroxypentanoyl-CoA
C06316	Dehydro-D-arabinono-1,4-lactone
C03239	6-Amino-2-oxohexanoate
C06318	(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate
C16674	Formylisoglutamine
C03656	(S)-5-Amino-3-oxohexanoic acid
C01507	L-Iditol
C01850	Rosmarinate
C01857	Thioacetate
C01500	Geraniol
C01502	o-Methoxyphenol
C02630	2-Hydroxyglutarate
C02631	2-Isopropylmaleate
C02637	3-Dehydroshikimate
C02634	3-Chloro-D-alanine
C02635	3-Chloro-L-alanine
C09806	Neohesperidin
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C02271	Dichloromethane
C07130	Theophylline
C09672	Germacrene B
C12147	L-Threonine O-3-phosphate
C17935	Cysteinyldopa
C12142	Vetispiradiene
C16488	Fructoselysine
C06408	Precorrin 8X
C02741	Phosphoribosyl-AMP
C03124	beta-L-Aspartylhydroxamate
C06407	Precorrin 4
C06406	Precorrin 3B
C15996	7-Cyano-7-carbaguanine
C06625	Malonamoyl-CoA
C02370	4-Chlorobenzoate
C06620	dTDP-3,4-dioxo-2,6-dideoxy-D-glucose
C00805	Salicylate
C00804	Propynoate
C16268	Cyclopropanecarboxyl-CoA
C16269	(+)-epi-Isozizaene
C00800	L-Gulonate
C11544	2-O-(alpha-D-Mannosyl)-D-glycerate
C11545	Cobalt-precorrin 8
C11546	2-O-(alpha-D-Glucopyranosyl)glycerol
C18672	Methylmercury
C11540	Cobalt-precorrin 4
C11541	Cobalt-precorrin 5
C11542	Cobalt-precorrin 6
C11543	Cobalt-dihydro-precorrin 6
C16069	3-Sulfolactate
C08063	1,4-Cyclohexanedione
C03341	2-Amino-4-oxopentanoic acid
C07044	Hydroxyurea
C19702	1-O-(2-Amino-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol
C20596	Penitrem D
C20595	20,21-Diprenylterpendole C
C05578	5,6-Dihydroxyindole
C05579	Indole-5,6-quinone
C20594	20,21-Diprenylterpendole J
C04006	1D-myo-Inositol 3-phosphate
C03906	beta-L-Arabinose 1-phosphate
C05574	3-Aminopentanedioate
C05575	Hercynine
C05576	3,4-Dihydroxyphenylethyleneglycol
C05577	3,4-Dihydroxymandelaldehyde
C00243	Lactose
C00242	Guanine
C00245	Taurine
C00244	Nitrate
C00247	L-Sorbose
C04002	(Z)-But-1-ene-1,2,4-tricarboxylate
C05382	Sedoheptulose 7-phosphate
C00483	Tyramine
C11149	Dichloroacetate
C11499	(S)-3-Sulfolactate
C01378	Fustin
C00489	Glutarate
C00488	Formamide
C11145	Methanesulfonic acid
C00068	Thiamin diphosphate
C05686	Adenylylselenate
C05684	Selenite
C00061	FMN
C05688	L-Selenocysteine
C00062	L-Arginine
C00065	L-Serine
C00064	L-Glutamine
C00067	Formaldehyde
C20953	3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
C04171	(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate
C16286	Geosmin
C00669	gamma-L-Glutamyl-L-cysteine
C00668	alpha-D-Glucose 6-phosphate
C00665	beta-D-Fructose 2,6-bisphosphate
C00664	5-Formiminotetrahydrofolate
C00663	beta-D-Glucose 1-phosphate
C00117	D-Ribose 5-phosphate
C00116	Glycerol
C00111	Glycerone phosphate
C00113	PQQ
C00112	CDP
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C00118	D-Glyceraldehyde 3-phosphate
C06387	4-Chlorobenzoyl-CoA
C11928	dTDP-4-oxo-2,6-dideoxy-D-allose
C05198	5'-Deoxyadenosine
C11922	dTDP-4-oxo-2,6-dideoxy-D-glucose
C11920	dTDP-L-olivose
C05195	3-Hydroxybenzoyl-CoA
C11926	dTDP-4-oxo-6-deoxy-D-allose
C11927	dTDP-4-oxo-2,6-dideoxy-L-mannose
C20480	Valerena-4,7(11)-diene
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C20487	L-beta-Phenylalanine
C20486	7-Epizingiberene
C20489	Pelargonidin 3-O-beta-D-sambubioside
C20488	D-beta-Phenylalanine
C00246	Butanoic acid
C20844	(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate
C20711	Miltiradiene
C20710	(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate
C20712	(S)-Laudanine
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C21442	Phenazine-1-carboxylate
C20366	2-Oxo-3-(5-oxofuran-2-ylidene)propanoate
C13952	UDP-N-acetyl-D-galactosaminuronic acid
C01045	N-Formyl-L-glutamate
C01046	N-Methyl-L-glutamate
C01041	Monodehydroascorbate
C01042	N-Acetyl-L-aspartate
C01043	N-Carbamoylsarcosine
C11148	TCE epoxide
C13425	3-Hexaprenyl-4-hydroxybenzoate
C00482	Sinapate
C09718	beta-Santalene
C10454	Methyleugenol
C10453	Eugenol
C10452	Estragole
C05361	Hydrazine
C02405	Formyl phosphate
C05364	4-Carboxy-2-oxo-3-hexenedioate
C20581	cis-(Homo)2-aconitate
C11142	Dimethyl sulfone
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
C11143	Dimethyl sulfoxide
C01198	3-(2-Hydroxyphenyl)propanoate
C21288	(2S,3R)-2-Hydroxy-3-(indol-3-yl)butanoate
C21289	(R)-3-(Indol-3-yl)-2-oxobutyrate
C21284	Fe-coproporphyrin III
C21285	D-Erythrulose 1-phosphate
C21287	2-Hydroxyisobutanoyl-CoA
C01444	Oxamate
C21281	Demethyl-4-deoxygadusol
C21282	2-epi-Valiolone
C21283	3-Indoleacrylate
C21065	7,8-Dihydroxanthopterin
C19738	(-)-gamma-Cadinene
C00341	Geranyl diphosphate
C19737	(+)-endo-beta-Bergamotene
C13378	alpha,beta-Dihydroxyethyl-TPP
C19735	(-)-endo-alpha-Bergamotene
C19734	(-)-alpha-Gurjunene
C16155	UDP-L-Ara4O
C09126	Genistein 7-O-beta-D-glucoside
C01993	5'-Oxoinosine
C01990	3-Oxalomalate
C01222	GDP-4-dehydro-6-deoxy-D-mannose
C02535	Dimethyl selenide
C01228	Guanosine 3',5'-bis(diphosphate)
C16848	6-Deoxy-5-ketofructose 1-phosphate
C04584	6-Imino-5-oxocyclohexa-1,3-dienecarboxylate
C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
C00349	2-Methyl-3-oxopropanoate
C00063	CTP
C05984	2-Hydroxybutanoic acid
C05689	Se-Methyl-L-selenocysteine
C03598	CDP-3,6-dideoxy-D-glucose
C03599	CDP-3,6-dideoxy-D-mannose
C20518	2,3-Bis-(O-phytanyl)-sn-glycerol 1-phosphate
C03428	Presqualene diphosphate
C03590	4-Hydroxyphenylglyoxylate
C02336	beta-D-Fructose
C02335	beta-Alanyl-CoA
C06328	6-Chlorobenzene-1,2,4-triol
C06329	2-Chloromaleylacetate
C02331	Vinylacetyl-CoA
C02330	UDP-L-iduronate
C03204	10-Formyldihydrofolate
C16600	(-)-threo-Iso(homo)3-citrate
C03752	2-Amino-2-deoxy-D-gluconate
C06321	(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C02714	N-Acetylputrescine
C01533	Syringin
C02621	13-Hydroxylupanine
C06189	Cyclic 2,3-bisphospho-D-glycerate
C07123	2-Hydroxy-6-oxo-octa-2,4-dienoate
C06180	Anabasine
C06181	Piperideine
C06182	Pelletierine
C06183	L-(+)-Anaferine
C06186	Arbutin
C06187	Arbutin 6-phosphate
C09833	Sakuranetin
C02752	Triacetate lactone
C03112	Deacetylcephalosporin C
C03115	Farnesyl triphosphate
C03117	GDP-6-deoxy-D-mannose
C06614	trans-3-Chloroacrylic acid
C06615	cis-3-Chloroacrylic acid
C14864	S-(2-Chloroacetyl)glutathione
C04368	3-Amino-3-(4-hydroxyphenyl)propanoate
C00870	4-Nitrophenol
C20225	Coniferyl acetate
C00877	Crotonoyl-CoA
C00878	D-Arabinonate
C00879	D-Galactarate
C03375	Norspermidine
C00133	D-Alanine
C16071	Riboflavin cyclic-4',5'-phosphate
C03576	Coenzyme M
C06505	Cob(I)yrinate a,c diamide
C06506	Adenosyl cobyrinate a,c diamide
C06507	Adenosyl cobyrinate hexaamide
C02223	2-Methylbutanal
C06051	Isopyridoxal
C08725	Pelargonin
C06508	Adenosyl cobinamide
C06509	Adenosyl cobinamide phosphate
C05565	Hydantoin-5-propionate
C08542	Celosianin II
C08543	Dopaxanthin
C08540	Betanin
C05560	L-2-Aminoadipate adenylate
C00582	Phenylacetyl-CoA
C00583	Propane-1,2-diol
C00580	Dimethyl sulfide
C00581	Guanidinoacetate
C00587	3-Hydroxybenzoate
C05568	Imidazole lactate
C03979	2-Dehydro-3-deoxy-L-rhamnonate
C00279	D-Erythrose 4-phosphate
C11150	Trichloroacetate
C00906	5,6-Dihydrothymine
C00275	D-Mannose 6-phosphate
C00904	Citramalyl-CoA
C00905	D-Fructuronate
C00270	N-Acetylneuraminate
C00903	Cinnamaldehyde
C00900	2-Acetolactate
C00273	5-Dehydro-D-fructose
C15809	Iminoglycine
C00479	Propanal
C07271	Limonene-1,2-epoxide
C00474	Ribitol
C00475	Cytidine
C00472	p-Benzoquinone
C07277	dTDP-D-fucose
C07276	Limonene-1,2-diol
C05691	Se-Adenosylselenomethionine
C05690	Se-Methylselenomethionine
C00294	Inosine
C05692	Se-Adenosyl-L-selenohomocysteine
C00292	Aniline
C05697	Selenate
C05696	3'-Phosphoadenylylselenate
C05699	L-Selenocystathionine
C05698	Selenohomocysteine
C00299	Uridine
C20922	Cembrene C
C20923	(R)-Nephthenol
C20926	gamma-Glutamyltyramine
C20924	(1S,4E,8E,12E)-2,2,5,9,13-Pentamethylcyclopentadeca-4,8,12-trien-1-ol
C04106	2-(Hydroxymethyl)-4-oxobutanoate
C05235	Hydroxyacetone
C04105	2,5-Dihydro-5-oxofuran-2-acetate
C03912	(S)-1-Pyrroline-5-carboxylate
C16297	Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside)
C07479	2-Oxo-5-methyl-cis-muconate
C00611	N-Acetyllactosamine
C00616	Quercetin 3-sulfate
C06159	2-Dehydro-3-deoxy-D-fuconate
C00121	D-Ribose
C00122	Fumarate
C00123	L-Leucine
C00124	D-Galactose
C00127	Glutathione disulfide
C00128	CMP-N-acetylneuraminate
C00129	Isopentenyl diphosphate
C20941	L-Anticapsin
C09140	Neocembrene
C11930	dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose
C11937	(1S,4R)-1-Hydroxy-2-oxolimonene
C14039	1,1-Dichloroethylene
C10517	2-(alpha-D-Glucosyl)-sn-glycerol 3-phosphate
C04613	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose
C10044	Galangin
C04611	Indol-3-ylacetyl-myo-inositol L-arabinoside
C11539	Cobalt-precorrin 3
C00054	Adenosine 3',5'-bisphosphate
C17234	2-Aminobut-2-enoate
C10287	Pterostilbene
C00051	Glutathione
C00052	UDP-alpha-D-galactose
C00053	3'-Phosphoadenylyl sulfate
C20724	(+)-Thujopsene
C20726	Phenyl 5-phospho-alpha-D-ribofuranoside
C20727	Kaempferol 3-O-beta-D-xyloside
C00058	Formate
C00059	Sulfate
C09099	Naringenin 7-O-beta-D-glucoside
C21459	6-Hydroxyferuloyl-CoA
C20466	2,3-Bis-O-(geranylgeranyl)-sn-glycero-1-phospho-L-serine
C15527	Precorrin 1
C04573	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate
C01051	Uroporphyrinogen III
C01050	UDP-N-acetylmuramate
C04574	di-trans,poly-cis-Undecaprenyl diphosphate
C21851	Pyridinium-3,5-biscarboxylic acid mononucleotide
C21850	3-Bromo-4-hydroxybenzoate
C21853	3-Bromo-4,5-dihydroxybenzoate
C04808	D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid
C21854	Kaempferol 3-O-rhamnoside-7-O-glucoside
C06986	Spirodilactone
C21858	N-(4-Oxoglutaryl)-L-cysteinylglycine
C09704	Nerolidol
C04807	6-Hydroxymethyl-7,8-dihydropterin diphosphate
C04773	3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate
C06017	dTDP-D-glucuronate
C21523	L-Tagatose
C21524	D-Altritol
C02105	(S)-Reticuline
C10469	Isoeugenol
C20850	N5-Hydroxy-L-ornithine
C20856	2-Hydroxy-5-methyl-1-naphthoate
C05334	Isosakuranetin
C20586	Terpendole G
C20587	Paspaline B
C16474	3-Fluoro-cis,cis-muconate
C16477	5-Fluoromuconolactone
C16476	4-Fluoromuconolactone
C05359	e-
C05350	2-Hydroxy-3-(4-hydroxyphenyl)propenoate
C02431	L-Rhamnofuranose
C01188	3-Hydroxy-2-methylpropanoate
C14610	(S)-5-Oxo-2,5-dihydrofuran-2-acetate
C01180	4-Methylthio-2-oxobutanoic acid
C01182	D-Ribulose 1,5-bisphosphate
C01185	Nicotinate D-ribonucleotide
C01187	3-Deoxy-D-manno-octulosonate
C01186	(3S,5S)-3,5-Diaminohexanoate
C21071	dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose
C21079	5'-Dehydrouridine
C01087	(R)-2-Hydroxyglutarate
C12093	1,3-Dihydroxy-N-methylacridone
C01231	alpha-D-Glucose 1,6-bisphosphate
C13747	1,7-Dimethylxanthine
C01984	(S)-Mandelate
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol
C01234	1-Aminocyclopropane-1-carboxylate
C01989	3-Ethylmalate
C02501	2-Hydroxymuconate
C01239	N-Acetyl-beta-D-glucosaminylamine
C02504	alpha-Isopropylmalate
C02505	2-Phenylacetamide
C19908	(+)-beta-Chamigrene
C04590	3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate
C05766	Uroporphyrinogen I
C19907	Pyrrole
C14863	2-(S-Glutathionyl)acetyl glutathione
C02291	L-Cystathionine
C03323	(2,1-beta-D-Fructosyl)n
C19694	D-Alanyl-(R)-lactate
C03589	4-Hydroxy-2-oxopentanoate
C16267	Cyclopropanecarboxylate
C15926	beta-L-Galactose 1-phosphate
C03582	Resveratrol
C15925	GDP-L-gulose
C19698	3,4-Bis(7-chloroindol-3-yl)pyrrole-2,5-dicarboxylate
C19699	Dichloroarcyriaflavin A
C03585	3-Chloro-cis,cis-muconate
C03584	3-(Uracil-1-yl)-L-alanine
C02614	(S)-2-Methylmalate
C02341	trans-Aconitate
C02344	(-)-endo-Fenchol
C02348	(R)(-)-Allantoin
C03210	Alanopine
C03741	(S)-4-Amino-5-oxopentanoate
C02183	Phloroglucinol
C01527	Scopolin
C18473	beta-Hydroxyarginine
C18472	L-Capreomycidine
C12316	cis-Dihydroquercetin
C06197	P1,P3-Bis(5'-adenosyl) triphosphate
C10521	Prunetin
C06195	Imidazolone
C12641	4'''-Demalonylsalvianin
C17401	Cobalt-factor III
C12647	Salvianin
C03107	D-Glucono-1,4-lactone
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C00185	Cellobiose
C07118	Benzoylacetyl-CoA
C07114	3-Oxo-3-phenylpropanoate
C07111	Ethylbenzene
C07112	1-Phenylethanol
C07113	Acetophenone
C09844	1,8-Cineole
C02763	2-Hydroxy-3-phenylpropenoate
C18872	Trimethylselenonium
C18871	Glutathioselenol
C18870	Selenodiglutathione
C19878	D-glycero-alpha-D-manno-Heptose 7-phosphate
C19879	D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate
C02983	Abrine
C00826	L-Arogenate
C19685	Sulfoacetyl-CoA
C04377	5,10-Methylenetetrahydromethanopterin
C04376	5'-Phosphoribosyl-N-formylglycinamide
C06603	cis,cis-4-Hydroxymuconic semialdehyde
C06601	Chlorohydroquinone
C06600	2,5-Dichlorohydroquinone
C00861	L-Rhamnulose
C00860	L-Histidinol
C02964	4-O-beta-D-Glucopyranosyl-D-mannose
C02962	D-Allose 6-phosphate
C00864	Pantothenate
