C00544	Homogentisate
C16470	5-Methylhex-4-enoyl-CoA
C01344	dIDP
C00129	Isopentenyl diphosphate
C16374	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA
C02528	Chenodeoxycholate
C14806	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
C05670	3-Aminopropiononitrile
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C03345	2-Methylbut-2-enoyl-CoA
C03598	CDP-3,6-dideoxy-D-glucose
C03785	D-Tagatose 1,6-bisphosphate
C00387	Guanosine
C00438	N-Carbamoyl-L-aspartate
C01187	3-Deoxy-D-manno-octulosonate
C06156	alpha-D-Glucosamine 1-phosphate
C05688	L-Selenocysteine
C00058	Formate
C18237	Molybdoenzyme molybdenum cofactor
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA
C00300	Creatine
C12448	Ecgonine methyl ester
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate
C21065	7,8-Dihydroxanthopterin
C01419	Cys-Gly
C05527	3-Sulfinylpyruvate
C00279	D-Erythrose 4-phosphate
C16331	OPC6-CoA
C06024	3-Deoxy-D-manno-octulosonyl-lipid IV(A)
C14851	Benzo[a]pyrene-4,5-oxide
C00380	Cytosine
C00096	GDP-mannose
C15905	Hydroxyspheroidenone
C00218	Methylamine
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA
C06564	Penicillin N
C16332	trans-2-Enoyl-OPC6-CoA
C02514	3-Fumarylpyruvate
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C00217	D-Glutamate
C00683	(S)-Methylmalonyl-CoA
C03373	Aminoimidazole ribotide
C00559	Deoxyadenosine
C01920	Geranoyl-CoA
C21140	Aurachin B
C00543	Dimethylamine
C12739	5'-Deoxy-5-fluorouridine
C11514	(E)-3-(Methoxycarbonyl)pent-2-enedioate
C01674	Chitobiose
C00490	Itaconate
C14144	5-Carboxy-2-pentenoyl-CoA
C00739	D-Lysine
C01112	D-Arabinose 5-phosphate
C04881	N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol
C03684	6-Pyruvoyltetrahydropterin
C02504	alpha-Isopropylmalate
C20905	2-Iminobutanoate
C06193	Guanosine 3'-phosphate
C16618	6-Thioxanthine 5'-monophosphate
C01212	UDP-N-acetylmuramoyl-L-alanine
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C00212	Adenosine
C00048	Glyoxylate
C15809	Iminoglycine
C00511	Acrylic acid
C05929	10-Formyltetrahydrofolylpolyglutamate
C21747	N-Acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine
C00596	2-Hydroxy-2,4-pentadienoate
C02691	Heteropyrithiamine
C01170	UDP-N-acetyl-D-mannosamine
C00577	D-Glyceraldehyde
C00083	Malonyl-CoA
C01672	Cadaverine
C00491	L-Cystine
C03506	Indoleglycerol phosphate
C00440	5-Methyltetrahydrofolate
C00455	Nicotinamide D-ribonucleotide
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C00473	Retinol
C14863	2-(S-Glutathionyl)acetyl glutathione
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate
C02939	3-Methylbutanoyl-CoA
C02463	Precorrin 2
C15527	Precorrin 1
C05378	beta-D-Fructose 1,6-bisphosphate
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C01005	O-Phospho-L-serine
C08492	3-Hexenol
C20482	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C00986	1,3-Diaminopropane
C03599	CDP-3,6-dideoxy-D-mannose
C01186	(3S,5S)-3,5-Diaminohexanoate
C05852	2-Hydroxyphenylacetate
C00286	dGTP
C09819	(Hydroxymethylphenyl)succinyl-CoA
C06473	2-Keto-D-gluconic acid
C04302	N-(5-Phospho-D-ribosyl)anthranilate
C00418	(R)-Mevalonate
