C00032	Heme
C00418	(R)-Mevalonate
C00379	Xylitol
C20238	(2R)-Ethylmalonyl-CoA
C05583	3-Methoxy-4-hydroxyphenylglycolaldehyde
C05453	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
C12834	2,5-Dichloro-carboxymethylenebut-2-en-4-olide
C00153	Nicotinamide
C16328	trans-2-Enoyl-OPC8-CoA
C06000	(S)-3-Hydroxyisobutyryl-CoA
C00984	alpha-D-Galactose
C02934	3-Dehydrosphinganine
C00388	Histamine
C00800	L-Gulonate
C00517	Hexadecanal
C05503	Estradiol-17beta 3-glucuronide
C00167	UDP-glucuronate
C05956	Prostaglandin G2
C00043	UDP-N-acetyl-alpha-D-glucosamine
C00780	Serotonin
C00093	sn-Glycerol 3-phosphate
C14806	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
C03345	2-Methylbut-2-enoyl-CoA
C15776	4alpha-Methylfecosterol
C05843	N1-Methyl-4-pyridone-5-carboxamide
C00259	L-Arabinose
C14865	2-(S-Glutathionyl)acetyl chloride
C00460	dUTP
C00217	D-Glutamate
C05350	2-Hydroxy-3-(4-hydroxyphenyl)propenoate
C01036	4-Maleylacetoacetate
C00219	Arachidonate
C16836	1,4'-Bipiperidine-1'-carboxylic acid
C16355	7-Methyluric acid
C00559	Deoxyadenosine
C07585	N-Acetylisoniazid
C01144	(S)-3-Hydroxybutanoyl-CoA
C00931	Porphobilinogen
C01157	Hydroxyproline
C07565	Acetanilide
C00218	Methylamine
C00601	Phenylacetaldehyde
C00532	L-Arabitol
C16172	(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA
C01586	Hippurate
C06506	Adenosyl cobyrinate a,c diamide
C00547	L-Noradrenaline
C04874	7,8-Dihydroneopterin
C18043	Cholesterol sulfate
C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
C04599	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C02356	(S)-2-Aminobutanoate
C21751	5-Fluorodeoxyuridine triphosphate
C00412	Stearoyl-CoA
C04555	Dehydroepiandrosterone sulfate
C05108	14-Demethyllanosterol
C02939	3-Methylbutanoyl-CoA
C00105	UMP
C19586	Aflatoxin B1-exo-8,9-epoxide
C11946	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C20904	2-Iminopropanoate
C00417	cis-Aconitate
C04431	cis-4-Carboxymethylenebut-2-en-4-olide
C00751	Squalene
C05588	L-Metanephrine
C03081	4-Methylumbelliferone
C01724	Lanosterol
C05828	Methylimidazoleacetic acid
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C00235	Dimethylallyl diphosphate
C03684	6-Pyruvoyltetrahydropterin
C02237	5-Oxo-D-proline
C02140	Corticosterone
C16545	Tamoxifen N-oxide
C00410	Progesterone
C00352	D-Glucosamine 6-phosphate
C01031	S-Formylglutathione
C05454	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane
C02838	L-Octanoylcarnitine
C00147	Adenine
C00096	GDP-mannose
C05476	Tetrahydrocorticosterone
C00870	4-Nitrophenol
C14825	9(10)-EpOME
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA
C00302	Glutamate
C06205	1,2-Dihydronaphthalene-1,2-diol
C21858	N-(4-Oxoglutaryl)-L-cysteinylglycine
C15493	9-cis-Retinoic acid
C06899	Chloral hydrate
C04006	1D-myo-Inositol 3-phosphate
C19562	7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate
C04805	5(S)-HETE
C00937	(R)-Lactaldehyde
C11134	Testosterone glucuronide
C01124	18-Hydroxycorticosterone
C04453	4alpha-Methyl-5alpha-cholest-7-en-3-one
C05285	Adrenosterone
C20252	5-Androstene-3,17-dione
C05637	4,8-Dihydroxyquinoline
C05116	3-Hydroxybutanoyl-CoA
C00143	5,10-Methylenetetrahydrofolate
C00234	10-Formyltetrahydrofolate
C03642	Taurolithocholate sulfate
C18075	11beta,17beta-Dihydroxy-4-androsten-3-one
C01262	beta-Alanyl-N(pi)-methyl-L-histidine
C08825	Lophenol
C12144	Phytosphingosine
C06548	Ethylene oxide
C00750	Spermine
C16168	(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA
C00008	ADP
C03360	4-Nitrophenyl phosphate
C05275	trans-Dec-2-enoyl-CoA
C16680	all-trans-5,6-Epoxyretinoic acid
C00639	Prostaglandin F2alpha
C00719	Betaine
C14800	1-Nitronaphthalene-5,6-oxide
C14556	9-Hydroxybenzo[a]pyrene
C03761	3-Hydroxy-3-methylglutarate
C06508	Adenosyl cobinamide
C00472	p-Benzoquinone
C01419	Cys-Gly
C16547	Endoxifen
C19605	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide
C05455	7alpha-Hydroxycholest-4-en-3-one
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C21748	5-Fluorouridine diphosphate
C00636	D-Mannose 1-phosphate
C15672	Heme O
C00258	D-Glycerate
C02944	3-cis-Dodecenoyl-CoA
C11173	SN-38
C04760	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA
C21762	4-Hydroxytryptamine
C00534	Pyridoxamine
C11150	Trichloroacetate
C07535	Benzo[a]pyrene
C16619	6-Thioguanosine monophosphate
C01243	1D-myo-Inositol 1,3,4-trisphosphate
C18231	Calcitetrol
C18902	Methylselenic acid
C21787	S-Sulfinatoglutathione
C00360	dAMP
C15558	Dermatan 6'-sulfate
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C02700	L-Formylkynurenine
C00187	Cholesterol
C04373	Etiocholanolone
C15850	Angiotensin (1-7)
C15778	5,7,24(28)-Ergostatrienol
C04063	D-myo-Inositol 3,4-bisphosphate
C01045	N-Formyl-L-glutamate
C20907	Chondroitin 4,6-sulfate
C00355	3,4-Dihydroxy-L-phenylalanine
C20836	beta-L-Fucopyranose
C01944	Octanoyl-CoA
C00203	UDP-N-acetyl-D-galactosamine
C17346	(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA
C05299	2-Methoxyestrone
C05498	11beta-Hydroxyprogesterone
C00186	(S)-Lactate
C20690	1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
C05929	10-Formyltetrahydrofolylpolyglutamate
C16216	3-Oxostearoyl-CoA
C19577	1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol
C14801	1-Nitro-5,6-dihydroxy-dihydronaphthalene
C15797	22alpha-Hydroxy-5alpha-campestan-3-one
C00279	D-Erythrose 4-phosphate
C00740	D-Serine
C00129	Isopentenyl diphosphate
C00777	Retinoate
C21015	gamma-L-Glutamyl-L-2-aminobutyrate
C11004	2,6-Dimethylaniline
C00620	alpha-D-Ribose 1-phosphate
C11301	Sulfoglycolithocholate
C12214	Aminofructose 6-phosphate
C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
C01530	Octadecanoic acid
C11522	24-Methylenelophenol
C05478	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione
C01164	7-Dehydrocholesterol
C21383	2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate
C01220	1D-myo-Inositol 1,4-bisphosphate
C04518	17alpha,20alpha-Dihydroxypregn-4-en-3-one
C05340	beta-Alanyl-L-arginine
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C16586	2-Phenyl-1,3-propanediol monocarbamate
C02630	2-Hydroxyglutarate
C20776	N-Acetylaspartylglutamylglutamate
C00361	dGDP
C17432	all-trans-Decaprenyl diphosphate
C05489	11beta,17alpha,21-Trihydroxypregnenolone
C00245	Taurine
C20908	Dermatan 4-sulfate
C03461	2-trans,6-trans-Farnesal
C16327	OPC8-CoA
C16164	(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA
C01005	O-Phospho-L-serine
C12739	5'-Deoxy-5-fluorouridine
C04563	D-myo-Inositol 1,2,4,5,6-pentakisphosphate
C17569	Ubiquinone-8
C00184	Glycerone
C02218	Dehydroalanine
C16578	Morphine-6-glucuronide
C00099	beta-Alanine
C02823	Cyanocobalamin
C05400	Epimelibiose
C01204	Phytic acid
C00492	Raffinose
C00366	Urate
C03885	3-Nonaprenyl-4-hydroxybenzoate
C05947	L-erythro-4-Hydroxyglutamate
C05122	Taurocholate
C17339	4-Cholesten-7alpha,12alpha-diol-3-one
C00628	2,5-Dihydroxybenzoate
C02835	Imidazole-4-acetate
C00169	Carbamoyl phosphate
C08299	Bufotenine
C00530	Hydroquinone
C15782	Delta7-Avenasterol
C05103	4alpha-Methylzymosterol
C16356	1,7-Dimethyluric acid
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C00864	Pantothenate
C02588	Retinyl palmitate
C14771	14,15-EET
C02714	N-Acetylputrescine
C21029	(R)-3-Ureidoisobutyrate
C05768	Coproporphyrinogen I
C05439	5alpha-Cholesta-7,24-dien-3beta-ol
C00353	Geranylgeranyl diphosphate
C05552	Biocytin
C14868	S-(1,2-Dichlorovinyl)glutathione
C00280	Androstenedione
C05951	Leukotriene D4
C05673	CMP-2-aminoethylphosphonate
C06428	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid
C04579	Inositol 1,2,3,5,6-pentakisphosphate
C14787	(1S,2R)-Naphthalene 1,2-oxide
C01780	Aldosterone
C06608	Diethylphosphoric acid
C06611	trans-3-Chloro-2-propene-1-ol
C03546	myo-Inositol 4-phosphate
C15610	Cholest-5-ene-3beta,26-diol
C07447	Acetylhydrazine
C07091	cis-Acetylacrylate
C14792	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
C00189	Ethanolamine
C16163	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA
C16333	3-Hydroxy-OPC6-CoA
C01120	Sphinganine 1-phosphate
C11061	all-trans-Retinoyl-beta-glucuronide
C05819	Menaquinol
C05402	Melibiose
C04895	7,8-Dihydroneopterin 3'-triphosphate
C04477	1D-myo-Inositol 1,3,4,6-tetrakisphosphate
C01205	(R)-3-Amino-2-methylpropanoate
C05485	21-Hydroxypregnenolone
C00136	Butanoyl-CoA
C05670	3-Aminopropiononitrile
C19595	Aflatoxin B1-endo-8,9-epoxide
C01794	Choloyl-CoA
C00584	Prostaglandin E2
C14769	8,9-EET
C21016	Ophthalmate
C17568	Ubiquinone-6
C01735	Morphinone
C16618	6-Thioxanthine 5'-monophosphate
C00696	Prostaglandin D2
C14144	5-Carboxy-2-pentenoyl-CoA
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
C16677	all-trans-4-Hydroxyretinoic acid
C00307	CDP-choline
C14802	1-Nitronaphthalene-7,8-oxide
C06505	Cob(I)yrinate a,c diamide
C06241	N-Acetylneuraminate 9-phosphate
C06341	7alpha,27-Dihydroxycholesterol
C15990	1L-myo-Inositol 1,2,3,4,6-pentakisphosphate
C07308	Cacodylate
C16565	Aminopropylcadaverine
C04295	Androstenediol
C05490	11-Dehydrocorticosterone
C16171	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA
C19559	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol
C00128	CMP-N-acetylneuraminate
C02191	Protoporphyrin
C02535	Dimethyl selenide
C18042	5alpha-Pregnane-3alpha,20alpha-diol
C00674	5alpha-Androstane-3,17-dione
C01879	5-Oxoproline
C00144	GMP
C05200	3-Hexaprenyl-4,5-dihydroxybenzoate
C21749	5-Fluorouridine triphosphate
C06011	Benzenamine sulfate
C05651	5-Hydroxykynurenine
C00655	Xanthosine 5'-phosphate
C15518	(24S)-Cholest-5-ene-3beta,7alpha,24-triol
C14858	2,2-Dichloroacetaldehyde
C00543	Dimethylamine
C00894	Propenoyl-CoA
C05528	3-Sulfopyruvate
C03681	5alpha-Pregnane-3,20-dione
C05262	(S)-3-Hydroxydodecanoyl-CoA
C16217	3-Hydroxyoctadecanoyl-CoA
C03035	gamma-Linolenoyl-CoA
C21750	5-Fluorodeoxyuridine diphosphate
C05998	3-Hydroxyisovaleryl-CoA
C17336	7alpha,26-Dihydroxy-4-cholesten-3-one
C07496	Carbamazepine-10,11-epoxide
C14791	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
C14854	9-Hydroxybenzo[a]pyrene-4,5-oxide
C16375	(3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenoyl-CoA
C00450	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate
C01146	2-Hydroxy-3-oxopropanoate
C04042	20alpha-Hydroxy-4-pregnen-3-one
C01165	L-Glutamate 5-semialdehyde
C05465	Taurochenodeoxycholate
C05653	Formylanthranilate
C15974	3-Methyl-1-hydroxybutyl-ThPP
C03492	D-4'-Phosphopantothenate
C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene
C03238	5alpha-Cholestan-3-one
C00170	5'-Methylthioadenosine
C02846	N,N-Dimethylaniline
C00385	Xanthine
C14853	Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide
C00262	Hypoxanthine
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C04257	N-Acetyl-D-mannosamine 6-phosphate
C01967	Ubiquinone-9
C00579	Dihydrolipoamide
C12287	beta-Ionone
C16622	N,N'-Diacetylhydrazine
C03226	3-Demethylubiquinone-9
C19490	trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene
C00546	Methylglyoxal
C05587	3-Methoxytyramine
C05689	Se-Methyl-L-selenocysteine
C01344	dIDP
C15780	5-Dehydroepisterol
C00440	5-Methyltetrahydrofolate
C01996	Acetylcholine
C05460	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA
C00899	11-cis-Retinol
C02909	(2-Naphthyl)methanol
C20835	alpha-L-Fucopyranose
C19566	4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone
C00369	Starch
C14786	(1R,2S)-Naphthalene 1,2-oxide
C01132	N-Acetyl-D-galactosamine
C00415	Dihydrofolate
C00191	D-Glucuronate
C00248	Lipoamide
C05674	CMP-N-trimethyl-2-aminoethylphosphonate
C16218	(2E)-Octadecenoyl-CoA
C03263	Coproporphyrinogen III
C05660	5-Methoxyindoleacetate
C00197	3-Phospho-D-glycerate
C01301	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
C17332	7alpha,25-Dihydroxy-4-cholesten-3-one
C00671	(S)-3-Methyl-2-oxopentanoic acid
C00214	Thymidine
C00090	Catechol
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C00357	N-Acetyl-D-glucosamine 6-phosphate
C05488	11-Deoxycortisol
C00836	Sphinganine
C15783	5-Dehydroavenasterol
C20482	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C00363	dTDP
C00194	Cobamide coenzyme
C12838	trans-4-Carboxymethylenebut-2-en-4-olide
C00345	6-Phospho-D-gluconate
C01284	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
C16614	6-Methylmercaptopurine
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C00510	Oleoyl-CoA
C03428	Presqualene diphosphate
C16632	alpha-Fluoro-beta-alanine
C14793	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
C05527	3-Sulfinylpyruvate
C02918	1-Methylnicotinamide
C05774	Cobinamide
C00683	(S)-Methylmalonyl-CoA
C00789	CDP-ribitol
C00430	5-Aminolevulinate
C01762	Xanthosine
C01079	Protoporphyrinogen IX
C01507	L-Iditol
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C06607	Diethylthiophosphoric acid
C14852	Benzo[a]pyrene-7,8-diol
C05110	4alpha-Methylcholesta-8-en-3beta-ol
C01678	Cysteamine
C01042	N-Acetyl-L-aspartate
C16362	3,6,8-Trimethylallantoin
C04017	N-Acetyl-9-O-acetylneuraminate
C05921	Biotinyl-5'-AMP
C00570	CDP-ethanolamine
C16647	N,N-Diethylglycine
C05111	Methostenol
C17331	7alpha,24-Dihydroxy-4-cholesten-3-one
C14870	2-Bromoacetaldehyde
C06755	Chloroacetic acid
C03772	5beta-Androstane-3,17-dione
C08492	3-Hexenol
C01007	Reduced riboflavin
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C06103	6-Hydroxyhexanoic acid
C05849	Vitamin K1 epoxide
C01502	o-Methoxyphenol
C00555	4-Aminobutyraldehyde
C00448	trans,trans-Farnesyl diphosphate
C06222	Sedoheptulose 1-phosphate
C14866	Chloral
C01598	Melatonin
C00599	Cholest-4-en-3-one
C05260	(S)-3-Hydroxytetradecanoyl-CoA
C00735	Cortisol
C05272	trans-Hexadec-2-enoyl-CoA
C05147	trans-3-Hydroxy-L-proline
C19580	alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol
C00643	5-Hydroxy-L-tryptophan
C00083	Malonyl-CoA
C05965	12(S)-HPETE
C04717	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid
C03069	3-Methylcrotonyl-CoA
C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
C02135	Angiotensin II
C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid
C00957	Mercaptopyruvate
C20742	2'-Phospho-cyclic ADP-ribose
C05341	beta-Alanyl-L-lysine
C02291	L-Cystathionine
C03771	5-Guanidino-2-oxopentanoate
C01245	D-myo-Inositol 1,4,5-trisphosphate
C15976	2-Methyl-1-hydroxypropyl-ThPP
