C05998	3-Hydroxyisovaleryl-CoA
C19909	N-Acetyl-alpha-neuraminate
C00117	D-Ribose 5-phosphate
C01099	L-Fuculose 1-phosphate
C00048	Glyoxylate
C00085	D-Fructose 6-phosphate
C00255	Riboflavin
C05345	beta-D-Fructose 6-phosphate
C00186	(S)-Lactate
C00894	Propenoyl-CoA
C14800	1-Nitronaphthalene-5,6-oxide
C00666	LL-2,6-Diaminoheptanedioate
C00164	Acetoacetate
C03506	Indoleglycerol phosphate
C06509	Adenosyl cobinamide phosphate
C18076	5'-Phosphoguanylyl(3'->5')guanosine
C05378	beta-D-Fructose 1,6-bisphosphate
C05686	Adenylylselenate
C19910	N-Acetyl-beta-neuraminate
C00341	Geranyl diphosphate
C16157	Undecaprenyl phosphate alpha-L-Ara4N
C00167	UDP-glucuronate
C01103	Orotidine 5'-phosphate
C00259	L-Arabinose
C00318	L-Carnitine
C00360	dAMP
C14859	Chloroacetyl chloride
C01412	Butanal
C00618	3-Dehydro-L-gulonate
C00018	Pyridoxal phosphate
C05382	Sedoheptulose 7-phosphate
C03393	4-Phospho-D-erythronate
C00583	Propane-1,2-diol
C07090	Protoanemonin
C21982	Lipid IVB
C00156	4-Hydroxybenzoate
C07335	2-Amino-3-oxo-4-phosphonooxybutyrate
C00644	D-Mannitol 1-phosphate
C05519	L-Allothreonine
C14851	Benzo[a]pyrene-4,5-oxide
C00144	GMP
C00363	dTDP
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile
C12623	trans-2,3-Dihydroxycinnamate
C21616	Psicoselysine
C14874	Glutathione episulfonium ion
C06510	Adenosine-GDP-cobinamide
C00327	L-Citrulline
C01380	Ethylene glycol
C11376	SN38 glucuronide
C06612	cis-3-Chloro-2-propene-1-ol
C04115	4-Carboxy-4-hydroxy-2-oxoadipate
C01530	Octadecanoic acid
C04556	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine
C00103	D-Glucose 1-phosphate
C00249	Hexadecanoic acid
C14802	1-Nitronaphthalene-7,8-oxide
C00257	D-Gluconic acid
C14145	(3S)-3-Hydroxyadipyl-CoA
C00100	Propanoyl-CoA
C01081	Thiamin monophosphate
C00546	Methylglyoxal
C20231	(Z)-3-Ureidoacrylate peracid
C00214	Thymidine
C00632	3-Hydroxyanthranilate
C01168	Pseudouridine 5'-phosphate
C02218	Dehydroalanine
C00163	Propanoate
C03979	2-Dehydro-3-deoxy-L-rhamnonate
C05668	3-Hydroxypropionyl-CoA
C00770	L-Idonate
C06397	ADP-D-glycero-beta-D-manno-heptose
C00160	Glycolate
C20958	L-Alanyl-L-glutamate
C06025	KDO2-lipid IVA
C00169	Carbamoyl phosphate
C00447	Sedoheptulose 1,7-bisphosphate
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA
C02356	(S)-2-Aminobutanoate
C00184	Glycerone
C00364	dTMP
C05688	L-Selenocysteine
C21563	2-(Glutathione-S-yl)-hydroquinone
C00105	UMP
C00898	(R,R)-Tartaric acid
C02091	(S)-Ureidoglycine
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C00842	dTDP-glucose
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C21007	5,6,7,8-Tetrahydromonapterin
C16155	UDP-L-Ara4O
C01100	L-Histidinol phosphate
C20482	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
C16238	Lipoyl-AMP
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C00906	5,6-Dihydrothymine
C00794	D-Sorbitol
C14830	GDP-4-keto-6-L-deoxygalactose
C04053	5-Dehydro-4-deoxy-D-glucuronate
C00966	2-Dehydropantoate
C07490	Trichloroethanol
C00212	Adenosine
C00246	Butanoic acid
C16273	3-Hydroxy-5-oxohexanoyl-CoA
C00905	D-Fructuronate
C01674	Chitobiose
C21094	7,8-Dihydromonapterin 3'-triphosphate
C07645	Aldophosphamide
C00136	Butanoyl-CoA
C00361	dGDP
C00111	Glycerone phosphate
C00345	6-Phospho-D-gluconate
C00568	4-Aminobenzoate
C00791	Creatinine
C01962	Thiocysteine
C12622	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
C00189	Ethanolamine
C00096	GDP-mannose
C16154	UDP-L-Ara4FN
C00817	D-Altronate
C06611	trans-3-Chloro-2-propene-1-ol
C00636	D-Mannose 1-phosphate
C05840	Iminoaspartate
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C00424	(S)-Lactaldehyde
C01672	Cadaverine
C00669	gamma-L-Glutamyl-L-cysteine
C01967	Ubiquinone-9
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
C11583	4-Glutathionyl cyclophosphamide
C03319	dTDP-L-rhamnose
C05689	Se-Methyl-L-selenocysteine
C01595	Linoleate
C04899	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C01419	Cys-Gly
C00555	4-Aminobutyraldehyde
C12739	5'-Deoxy-5-fluorouridine
C06505	Cob(I)yrinate a,c diamide
C03838	5'-Phosphoribosylglycinamide
C00828	Menaquinone
C00310	D-Xylulose
C02713	N-Acetylmuramate
C16565	Aminopropylcadaverine
C00979	O-Acetyl-L-serine
C00133	D-Alanine
C06426	(6Z,9Z,12Z)-Octadecatrienoic acid
C00015	UDP
C03082	4-Phospho-L-aspartate
C00541	Cob(II)alamin
C11736	5-Fluorodeoxyuridine
C04327	4-Methyl-5-(2-phosphooxyethyl)thiazole
C04121	CMP-3-deoxy-D-manno-octulosonate
C00208	Maltose
C12838	trans-4-Carboxymethylenebut-2-en-4-olide
C02612	(R)-2-Methylmalate
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C03221	2-trans-Dodecenoyl-CoA
C03415	N2-Succinyl-L-ornithine
C03069	3-Methylcrotonyl-CoA
C00332	Acetoacetyl-CoA
C00378	Thiamine
C03160	2-Succinylbenzoyl-CoA
C01721	L-Fuculose
C06425	Icosanoic acid
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate
C00519	Hypotaurine
C16328	trans-2-Enoyl-OPC8-CoA
C16619	6-Thioguanosine monophosphate
C00242	Guanine
C00877	Crotonoyl-CoA
C00506	L-Cysteate
C00440	5-Methyltetrahydrofolate
C20641	L-Threonylcarbamoyladenylate
C00900	2-Acetolactate
C19875	alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate
C05924	Molybdopterin
C05821	Enterochelin
C00561	Mandelonitrile
C00935	UDP-L-arabinose
C14870	2-Bromoacetaldehyde
C00984	alpha-D-Galactose
C01236	D-Glucono-1,5-lactone 6-phosphate
C00429	5,6-Dihydrouracil
C00299	Uridine
C21485	Cytidylyl molybdenum cofactor
C04114	(E)-4-(Trimethylammonio)but-2-enoate
C01888	Aminoacetone
C05279	trans,cis-Lauro-2,6-dienoyl-CoA
C05966	15(S)-HPETE
C06156	alpha-D-Glucosamine 1-phosphate
C02962	D-Allose 6-phosphate
C09819	(Hydroxymethylphenyl)succinyl-CoA
C04932	Lipid A disaccharide
C00209	Oxalate
C06188	Salicin 6-phosphate
C00029	UDP-glucose
C00319	Sphingosine
C02630	2-Hydroxyglutarate
C01170	UDP-N-acetyl-D-mannosamine
C00552	meso-Tartaric acid
C02709	N-(Acetyloxy)benzenamine
C01157	Hydroxyproline
C00468	Estrone
C16639	beta-D-Ribofuranose
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C05993	Acetyl adenylate
C02944	3-cis-Dodecenoyl-CoA
C20062	2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA
C06398	ADP-L-glycero-beta-D-manno-heptose
C00217	D-Glutamate
C00206	dADP
C14871	S-(Formylmethyl)glutathione
C04242	5-Fluorodeoxyuridine monophosphate
C00603	(S)-Ureidoglycolate
C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C14089	1-Hydroxymethylnaphthalene
C03589	4-Hydroxy-2-oxopentanoate
C16618	6-Thioxanthine 5'-monophosphate
C03291	L-Xylulose 5-phosphate
C00993	D-Alanyl-D-alanine
C05444	3alpha,7alpha,26-Trihydroxy-5beta-cholestane
C01165	L-Glutamate 5-semialdehyde
C04650	L-Phosphinothricin
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C03273	5-Oxopentanoate
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C03406	N-(L-Arginino)succinate
C00885	Isochorismate
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C00296	Quinate
C01367	3'-AMP
C16470	5-Methylhex-4-enoyl-CoA
C06311	Galactitol 1-phosphate
C00179	Agmatine
C00020	AMP
C03263	Coproporphyrinogen III
C02909	(2-Naphthyl)methanol
C19884	Lipid IIA
C05670	3-Aminopropiononitrile
C16469	3-Hydroxy-5-methylhex-4-enoyl-CoA
C00154	Palmitoyl-CoA
C00275	D-Mannose 6-phosphate
