C02631	2-Isopropylmaleate
C15767	4-(L-gamma-Glutamylamino)butanoate
C00527	Glutaryl-CoA
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C00534	Pyridoxamine
C00163	Propanoate
C01134	Pantetheine 4'-phosphate
C00008	ADP
C01112	D-Arabinose 5-phosphate
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C05824	S-Sulfo-L-cysteine
C16470	5-Methylhex-4-enoyl-CoA
C05551	Penicillin G
C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
C00531	Itaconyl-CoA
C02191	Protoporphyrin
C04044	3-(2,3-Dihydroxyphenyl)propanoate
C14874	Glutathione episulfonium ion
C00860	L-Histidinol
C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
C00632	3-Hydroxyanthranilate
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine
C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide
C00666	LL-2,6-Diaminoheptanedioate
C06033	Parapyruvate
C00415	Dihydrofolate
C00691	2,4,6/3,5-Pentahydroxycyclohexanone
C05688	L-Selenocysteine
C01081	Thiamin monophosphate
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C07838	D-glycero-beta-D-manno-Heptose 1-phosphate
C05852	2-Hydroxyphenylacetate
C20895	(2S,3S)-3-Methylphenylalanine
C20845	(4S,5R)-4,5,6-Trihydroxy-2-iminohexanoate
C01228	Guanosine 3',5'-bis(diphosphate)
C00137	myo-Inositol
C16612	Citalopram aldehyde
C06321	(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C14802	1-Nitronaphthalene-7,8-oxide
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C00857	Deamino-NAD+
C00844	Prunasin
C05273	trans-Tetradec-2-enoyl-CoA
C08353	beta-D-Ribopyranose
C12214	Aminofructose 6-phosphate
C00133	D-Alanine
C03561	(R)-3-Hydroxybutanoyl-CoA
C00530	Hydroquinone
C04377	5,10-Methylenetetrahydromethanopterin
C11540	Cobalt-precorrin 4
C03785	D-Tagatose 1,6-bisphosphate
C06612	cis-3-Chloro-2-propene-1-ol
C21029	(R)-3-Ureidoisobutyrate
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate
C03827	2-Dehydro-3-deoxy-L-fuconate
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C01163	3-Carboxy-cis,cis-muconate
C03090	5-Phosphoribosylamine
C00431	5-Aminopentanoate
C03375	Norspermidine
C00695	Cholic acid
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA
C06098	Zeaxanthin
C04145	all-trans-Nonaprenyl diphosphate
C05345	beta-D-Fructose 6-phosphate
C15968	Adonixanthin
C18091	Ethylnitronate
C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate
C00341	Geranyl diphosphate
C03585	3-Chloro-cis,cis-muconate
C03972	2,3,4,5-Tetrahydrodipicolinate
C09332	THF-L-glutamate
C00469	Ethanol
C17962	Demethylphosphinothricin
C00853	Cob(I)alamin
C00437	N-Acetylornithine
C14865	2-(S-Glutathionyl)acetyl chloride
C00147	Adenine
C04805	5(S)-HETE
C02356	(S)-2-Aminobutanoate
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C03671	2-Pyrone-4,6-dicarboxylate
C04121	CMP-3-deoxy-D-manno-octulosonate
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C04144	Tetrahydropteroyltri-L-glutamate
C16337	3-Hydroxy-OPC4-CoA
C05668	3-Hydroxypropionyl-CoA
C00483	Tyramine
C20904	2-Iminopropanoate
C00770	L-Idonate
C04489	5-Methyltetrahydropteroyltri-L-glutamate
C11472	D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
C19968	8-Oxo-dGMP
C02593	Tetradecanoyl-CoA
C00233	4-Methyl-2-oxopentanoate
C03451	(R)-S-Lactoylglutathione
C20905	2-Iminobutanoate
C00919	Choline sulfate
C11545	Cobalt-precorrin 8
C11638	3-Amino-2-oxopropyl phosphate
C00208	Maltose
C19876	alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA
C05993	Acetyl adenylate
C00921	Dihydropteroate
C16469	3-Hydroxy-5-methylhex-4-enoyl-CoA
C01144	(S)-3-Hydroxybutanoyl-CoA
C00385	Xanthine
C00109	2-Oxobutanoate
C19880	D-glycero-alpha-D-manno-Heptose 1-phosphate
C00705	dCDP
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C17401	Cobalt-factor III
C01146	2-Hydroxy-3-oxopropanoate
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C00231	D-Xylulose 5-phosphate
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C14857	1,1-Dichloroethylene epoxide
C00249	Hexadecanoic acid
C00218	Methylamine
C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
C00318	L-Carnitine
C05116	3-Hydroxybutanoyl-CoA
C01062	5-Dehydro-D-gluconate
C03167	Phosphonoacetaldehyde
C00197	3-Phospho-D-glycerate
C16618	6-Thioxanthine 5'-monophosphate
C00497	(R)-Malate
C00083	Malonyl-CoA
C01219	CDP-4-dehydro-6-deoxy-D-glucose
C18232	N-Formylmaleamic acid
C05578	5,6-Dihydroxyindole
C11437	1-Deoxy-D-xylulose 5-phosphate
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C00791	Creatinine
C00501	CDP-glucose
C06611	trans-3-Chloro-2-propene-1-ol
C00090	Catechol
C00568	4-Aminobenzoate
C02348	(R)(-)-Allantoin
C04242	5-Fluorodeoxyuridine monophosphate
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol
C15522	4a-Hydroxytetrahydrobiopterin
C00826	L-Arogenate
C00314	Pyridoxine
C01180	4-Methylthio-2-oxobutanoic acid
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C00398	Tryptamine
C00364	dTMP
C00468	Estrone
C05579	Indole-5,6-quinone
C05929	10-Formyltetrahydrofolylpolyglutamate
C00756	1-Octanol
C03082	4-Phospho-L-aspartate
C00214	Thymidine
C06755	Chloroacetic acid
C01596	Maleamate
C01563	Carbamate
C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
C06762	4-Hydroxy-2-oxohexanoic acid
C05512	Deoxyinosine
C04563	D-myo-Inositol 1,2,4,5,6-pentakisphosphate
C19878	D-glycero-alpha-D-manno-Heptose 7-phosphate
C05821	Enterochelin
C00679	5-Dehydro-4-deoxy-D-glucarate
C18096	D-Allulose 6-phosphate
C19771	2'-(5-Triphosphoribosyl)-3'-dephospho-CoA
C00544	Homogentisate
C00447	Sedoheptulose 1,7-bisphosphate
C20646	(3S)-2-Oxo-3-phenylbutanoate
C18237	Molybdoenzyme molybdenum cofactor
C05275	trans-Dec-2-enoyl-CoA
C00112	CDP
C05932	N-Succinyl-L-glutamate 5-semialdehyde
C08492	3-Hexenol
C00445	5,10-Methenyltetrahydrofolate
C05364	4-Carboxy-2-oxo-3-hexenedioate
C01051	Uroporphyrinogen III
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA
C00429	5,6-Dihydrouracil
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C00248	Lipoamide
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate
C19770	N-Acetyl-beta-muramate 6-phosphate
C03921	2-Dehydro-3-deoxy-D-glucarate
C17952	N-Acetylphosphinothricin
C00877	Crotonoyl-CoA
C00617	UDP-D-galacturonate
C04642	2-Hydroxy-5-carboxymethylmuconate semialdehyde
C02630	2-Hydroxyglutarate
C16475	2-Fluoro-cis,cis-muconate
C01179	3-(4-Hydroxyphenyl)pyruvate
C06319	Precorrin 6Y
C05527	3-Sulfinylpyruvate
C16502	Farnesoic acid
C00409	Methanethiol
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole
C15527	Precorrin 1
C12215	Iminoerythrose 4-phosphate
C01944	Octanoyl-CoA
C00904	Citramalyl-CoA
C14792	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
C00227	Acetyl phosphate
C00671	(S)-3-Methyl-2-oxopentanoic acid
C21007	5,6,7,8-Tetrahydromonapterin
C04559	4-Methylmuconolactone
C03393	4-Phospho-D-erythronate
C05335	L-Selenomethionine
C02741	Phosphoribosyl-AMP
C11088	1,2-Dibromoethane
C14868	S-(1,2-Dichlorovinyl)glutathione
C00130	IMP
C05921	Biotinyl-5'-AMP
C00559	Deoxyadenosine
C16332	trans-2-Enoyl-OPC6-CoA
C00673	2-Deoxy-D-ribose 5-phosphate
C16631	alpha-Fluoro-beta-ureidopropionic acid
C05670	3-Aminopropiononitrile
C21748	5-Fluorouridine diphosphate
C05262	(S)-3-Hydroxydodecanoyl-CoA
C00179	Agmatine
C21398	Methanesulfinic acid
C04732	5-Amino-6-(1-D-ribitylamino)uracil
C03313	Phylloquinol
C05276	trans-Oct-2-enoyl-CoA
C00490	Itaconate
